 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:cell body:1,270.324,506.721,325.268,199.080,139.000,1758.000,136978.729,388.000,2650151.000,0.000
2,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:nucleus:1,64.919,955.061,188.413,910.162,485.000,1758.000,62001.621,941.500,1199556.000,0.000
3,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:cytoplasm:1,205.405,365.021,210.719,197.039,139.000,1431.000,74977.109,296.000,1450595.000,0.000
4,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:dendrite 1:1,3.360,197.070,22.209,211.852,157.849,239.895,662.088,197.441,12809.534,14.639
5,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:dendrite 1 background:1,3.360,132.093,2.597,131.498,129.084,145.137,443.789,131.515,8586.063,14.639
6,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:dendrite 2:1,1.499,207.107,22.929,215.396,179.027,276.517,310.438,206.099,6006.091,6.446
7,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:dendrite 2 background:1,1.499,131.732,1.223,132.324,129.715,134.183,197.456,131.642,3820.214,6.446
8,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:dendrite 3:1,1.706,204.703,34.517,150.452,150.233,261.942,349.157,218.132,6755.204,7.393
9,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:dendrite 3 background:1,1.706,130.978,1.027,130.009,129.444,133.512,223.406,130.903,4322.274,7.393
10,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:AIS:1,6.978,285.882,44.703,287.850,204.048,438.511,1994.819,286.220,38594.112,30.656
11,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:AIS background:1,6.978,133.198,6.976,131.163,129.029,181.049,929.423,131.459,17981.710,30.656
12,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:axon:1,16.540,264.752,54.724,251.573,155.266,416.162,4378.963,263.507,84720.544,72.596
13,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:axon background:1,16.540,133.346,6.951,130.142,129.000,212.531,2205.524,131.737,42670.654,72.596
14,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:growth cone:1,71.070,176.970,38.988,153.418,129.000,395.000,12577.239,166.000,243334.000,0.000
15,SUM_0d4de5ea-ce81-4c09-9e53-e16efd6e84f1.tif:growth cone background:1,71.070,131.151,2.422,129.059,129.000,159.000,9320.846,131.000,180332.000,0.000
