 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_4cc2bb62-a597-4243-b217-45a844caead6.tif:cell body:1,464.667,450.005,386.734,179.645,152.000,2174.000,209102.863,286.000,4045549.000,0.000
2,SUM_4cc2bb62-a597-4243-b217-45a844caead6.tif:nucleus:1,58.613,1342.202,238.952,1269.629,800.000,2174.000,78670.775,1326.500,1522057.000,0.000
3,SUM_4cc2bb62-a597-4243-b217-45a844caead6.tif:cytoplasm:1,406.054,321.218,177.239,174.818,152.000,1821.000,130432.088,262.000,2523492.000,0.000
4,SUM_4cc2bb62-a597-4243-b217-45a844caead6.tif:dendrite 1:1,3.153,183.896,19.157,155.505,154.019,223.158,579.809,181.975,11217.673,13.869
5,SUM_4cc2bb62-a597-4243-b217-45a844caead6.tif:dendrite 1 background:1,3.153,153.856,2.300,153.917,150.679,160.975,485.096,153.587,9385.233,13.869
6,SUM_4cc2bb62-a597-4243-b217-45a844caead6.tif:dendrite 2:1,4.083,186.628,19.191,163.140,152.071,234.203,762.054,182.407,14743.591,17.873
7,SUM_4cc2bb62-a597-4243-b217-45a844caead6.tif:dendrite 2 background:1,4.083,152.654,2.204,150.846,150.105,163.173,623.330,152.103,12059.681,17.873
8,SUM_4cc2bb62-a597-4243-b217-45a844caead6.tif:dendrite 3:1,2.791,203.729,34.913,171.992,163.554,312.525,568.630,192.468,11001.373,12.153
9,SUM_4cc2bb62-a597-4243-b217-45a844caead6.tif:dendrite 3 background:1,2.791,152.740,1.697,152.121,150.558,157.901,426.313,152.124,8247.958,12.153
10,SUM_4cc2bb62-a597-4243-b217-45a844caead6.tif:AIS:1,7.288,295.245,37.885,321.704,214.021,389.048,2151.713,290.303,41629.566,31.961
11,SUM_4cc2bb62-a597-4243-b217-45a844caead6.tif:AIS background:1,7.288,153.194,1.840,152.492,150.169,161.720,1116.464,152.881,21600.422,31.961
