 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:cell body:1,466.993,496.080,343.383,220.830,170.000,1905.000,231665.954,343.000,4482081.000,0.000
2,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:nucleus:1,78.513,1067.282,310.482,1220.010,360.000,1905.000,83795.297,1129.000,1621202.000,0.000
3,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:cytoplasm:1,388.481,380.639,207.353,227.504,170.000,1572.000,147870.657,301.000,2860879.000,0.000
4,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:dendrite 1:1,5.272,218.498,29.807,193.002,182.580,312.734,1151.939,212.653,22286.759,23.007
5,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:dendrite 1 background:1,5.272,164.721,2.739,163.976,162.003,183.488,868.426,164.018,16801.587,23.007
6,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:dendrite 2:1,3.928,221.046,31.118,187.003,177.661,314.327,868.318,217.645,16799.499,17.263
7,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:dendrite 2 background:1,3.928,166.489,3.095,164.784,162.918,178.083,654.006,165.650,12653.171,17.263
8,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:dendrite 3:1,2.791,197.911,26.842,182.411,169.433,286.000,552.390,189.194,10687.177,12.063
9,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:dendrite 3 background:1,2.791,164.845,2.946,162.442,162.408,179.494,460.099,164.053,8901.621,12.063
10,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:AIS:1,5.014,318.572,132.553,279.211,221.986,1013.852,1597.210,284.518,30901.500,22.016
11,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:AIS background:1,5.014,177.607,12.827,163.678,163.550,228.675,890.461,174.519,17227.908,22.016
12,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:axon:1,23.828,313.218,73.057,277.828,196.186,699.807,7463.295,294.463,144393.651,104.800
13,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:axon background:1,23.879,194.464,80.565,164.403,162.033,566.459,4643.706,166.378,89842.574,104.959
14,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:growth cone:1,109.525,218.586,35.075,213.211,162.000,390.000,23940.605,214.000,463183.000,0.000
15,SUM_b094e1e1-f58c-4732-a85b-3ac7092645bd.tif:growth cone background:1,109.525,166.129,10.929,163.953,162.000,362.000,18195.269,164.000,352027.000,0.000
