 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:cell body:1,281.747,588.054,363.089,226.504,177.000,1511.000,165682.098,459.000,3205480.000,0.000
2,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:nucleus:1,71.018,1135.023,162.553,1193.721,572.000,1511.000,80607.182,1164.000,1559521.000,0.000
3,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:cytoplasm:1,210.728,403.718,180.375,226.561,177.000,1192.000,85074.916,352.000,1645959.000,0.000
4,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:dendrite 1:1,5.427,204.426,13.584,189.994,179.512,234.844,1109.453,203.728,21464.769,23.836
5,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:dendrite 1 background:1,5.427,179.862,9.500,175.647,171.099,225.250,976.139,176.718,18885.524,23.836
6,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:dendrite 2:1,3.721,194.807,14.267,185.982,175.361,249.859,724.970,188.782,14026.118,16.314
7,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:dendrite 2 background:1,3.721,181.369,10.029,172.881,171.841,220.250,674.958,177.539,13058.536,16.314
8,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:dendrite 3:1,2.739,194.336,10.075,182.065,176.745,222.917,532.367,194.068,10299.800,11.838
9,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:dendrite 3 background:1,2.739,174.473,2.110,173.386,171.265,180.391,477.955,173.958,9247.070,11.838
10,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:AIS:1,4.755,222.777,15.166,209.412,199.199,277.241,1059.351,220.585,20495.439,20.768
11,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:AIS background:1,4.755,177.703,4.923,173.995,172.097,201.552,845.018,175.862,16348.712,20.768
12,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:axon:1,17.315,224.821,17.778,207.685,190.182,290.877,3892.819,223.612,75315.043,76.072
13,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:axon background:1,17.315,177.170,14.106,173.458,171.000,350.785,3067.733,174.752,59351.948,76.072
14,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:growth cone:1,47.552,196.424,20.548,181.705,171.000,360.000,9340.383,190.000,180710.000,0.000
15,SUM_a4de19a8-2b15-442f-8d2c-ac252b6ec3e6.tif:growth cone background:1,47.552,174.784,3.902,173.002,171.000,212.000,8311.344,174.000,160801.000,0.000
