 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:cell body:1,225.098,365.268,211.761,148.492,127.000,1699.000,0.000,0.000,82220.855,276.000,1590741.000,0,0.000
2,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:nucleus:1,63.265,650.355,103.780,629.096,298.000,1699.000,0.000,0.000,41144.774,640.000,796035.000,0,0.000
3,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:cytoplasm:1,161.832,253.819,118.162,144.723,127.000,825.000,0.000,0.000,41076.081,207.000,794706.000,0,0.000
4,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:dendrite 1:1,1.809,142.601,10.553,133.716,129.036,177.939,0.000,0.000,257.973,141.766,4991.049,0,7.885
5,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:dendrite 1 background:1,1.809,129.475,3.320,126.937,126.227,143.545,0.000,0.000,234.227,128.582,4531.624,0,7.885
6,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:dendrite 2:1,0.724,141.047,5.735,131.348,131.313,149.236,0.000,0.000,102.064,140.230,1974.659,0,3.138
7,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:dendrite 2 background:1,0.724,128.555,1.085,127.576,127.568,131.688,0.000,0.000,93.025,128.330,1799.764,0,3.138
8,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:dendrite 3:1,0.000,128.000,0.000,128.000,128.000,128.000,6.934,43.594,6.616,128.000,128.000,1,0.000
9,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:dendrite 3 background:1,0.000,129.000,0.000,129.000,129.000,129.000,9.208,45.867,6.668,129.000,129.000,1,0.000
10,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:AIS:1,3.670,211.189,22.662,195.267,168.805,280.779,0.000,0.000,775.017,210.804,14994.395,0,15.947
11,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:AIS background:1,3.670,132.469,7.640,128.099,126.670,175.456,0.000,0.000,486.134,130.237,9405.317,0,15.947
12,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:axon:1,19.124,197.635,26.314,195.830,143.687,287.996,0.000,0.000,3779.619,194.032,73124.932,0,84.062
13,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:axon background:1,19.124,129.873,4.099,128.121,126.000,161.030,0.000,0.000,2483.720,128.757,48052.949,0,84.062
14,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:growth cone:1,19.538,176.259,55.541,132.629,127.000,389.000,0.000,0.000,3443.707,149.500,66626.000,0,0.000
15,SUM_4eb47cd5-4be7-41ab-b6d6-421b162a9e7d.tif:growth cone background:1,19.538,129.116,4.846,127.031,126.000,174.000,0.000,0.000,2522.643,128.000,48806.000,0,0.000
