 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:cell body:1,180.233,697.184,487.008,222.371,167.000,2057.000,125655.627,460.000,2431081.000,0.000
2,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:nucleus:1,52.307,1340.347,231.456,1414.279,620.000,2057.000,70110.041,1323.000,1356431.000,0.000
3,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:cytoplasm:1,127.926,434.202,271.857,221.439,167.000,1634.000,55545.586,326.000,1074650.000,0.000
4,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:dendrite 1:1,2.016,201.640,21.864,197.601,163.824,251.609,406.465,198.366,7863.951,8.689
5,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:dendrite 1 background:1,2.016,151.431,2.509,148.631,147.390,157.477,305.254,151.008,5905.796,8.689
6,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:dendrite 2:1,2.274,221.283,43.649,165.046,157.851,305.188,503.249,212.261,9736.447,9.900
7,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:dendrite 2 background:1,2.274,150.273,1.265,149.760,148.142,154.278,341.756,150.156,6612.021,9.900
8,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:dendrite 3:1,1.654,180.235,19.033,160.497,153.565,249.491,298.107,177.782,5767.527,7.119
9,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:dendrite 3 background:1,1.654,152.113,2.972,148.181,148.157,160.500,251.593,151.774,4867.608,7.119
10,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:AIS:1,3.825,388.053,43.651,348.578,318.377,496.114,1484.244,382.893,28715.914,16.778
11,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:AIS background:1,3.825,157.556,10.767,148.962,148.194,191.870,602.628,152.491,11659.139,16.778
12,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:axon:1,19.176,349.527,49.967,334.734,245.560,515.721,6702.505,344.397,129674.506,84.220
13,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:axon background:1,19.176,152.750,11.031,150.311,147.000,260.000,2929.132,150.479,56670.418,84.220
14,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:growth cone:1,13.490,290.778,86.482,192.535,161.000,575.000,3922.692,278.000,75893.000,0.000
15,SUM_6699843f-bfd5-4bf6-ba03-6de53f8672dd.tif:growth cone background:1,13.490,150.184,3.038,147.996,147.000,177.000,2026.033,150.000,39198.000,0.000
