 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_BFA_1_BOTH.tif:cell body:1,279.111,74.034,42.625,30.000,7.000,251.000,0.000,0.000,20663.744,67.000,399785.000,0,0.000
2,MAX_BFA_1_BOTH.tif:nucleus:1,70.760,120.175,29.027,97.000,53.000,244.000,0.000,0.000,8503.517,116.000,164519.000,0,0.000
3,MAX_BFA_1_BOTH.tif:cytoplasm:1,208.351,58.364,34.340,30.000,7.000,251.000,0.000,0.000,12160.227,51.000,235266.000,0,0.000
4,MAX_BFA_1_BOTH.tif:dendrite 1:1,2.843,30.871,13.712,17.960,15.000,75.615,0.000,0.000,87.761,26.593,1697.922,0,12.349
5,MAX_BFA_1_BOTH.tif:dendrite 1 background:1,2.843,6.502,2.971,3.993,3.000,19.395,0.000,0.000,18.485,5.677,357.627,0,12.349
6,MAX_BFA_1_BOTH.tif:dendrite 2:1,6.564,24.168,7.034,16.754,12.018,44.351,0.000,0.000,158.645,23.013,3069.333,0,28.689
7,MAX_BFA_1_BOTH.tif:dendrite 2 background:1,6.564,4.715,0.836,4.992,3.226,7.638,0.000,0.000,30.951,4.535,598.815,0,28.689
8,MAX_BFA_1_BOTH.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,94.577,34.102,0.207,4.000,4.000,1,0.000
9,MAX_BFA_1_BOTH.tif:dendrite 3 background:1,0.000,5.000,0.000,5.000,5.000,5.000,96.850,36.376,0.258,5.000,5.000,1,0.000
10,MAX_BFA_1_BOTH.tif:AIS:1,4.083,21.143,8.374,14.858,9.412,56.665,0.000,0.000,86.332,18.774,1670.289,0,17.871
11,MAX_BFA_1_BOTH.tif:AIS background:1,4.083,4.308,0.636,4.002,3.000,6.000,0.000,0.000,17.590,4.206,340.323,0,17.871
12,MAX_BFA_1_BOTH.tif:axon:1,15.196,23.878,7.877,17.402,8.297,48.141,0.000,0.000,362.847,23.332,7020.060,0,66.739
13,MAX_BFA_1_BOTH.tif:axon background:1,15.196,4.668,2.138,3.969,3.000,26.635,0.000,0.000,70.936,4.194,1372.410,0,66.739
14,MAX_BFA_1_BOTH.tif:growth cone:1,102.185,10.965,5.340,7.000,3.000,47.000,0.000,0.000,1120.422,10.000,21677.000,0,0.000
15,MAX_BFA_1_BOTH.tif:growth cone background:1,102.185,4.359,1.570,4.000,3.000,27.000,0.000,0.000,445.440,4.000,8618.000,0,0.000
