 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BFA_4_BOTH.tif:cell body:1,341.342,44.220,31.361,9.000,4.000,227.000,15094.093,37.000,292028.000,0.000
2,MAX_BFA_4_BOTH.tif:nucleus:1,81.511,83.319,19.694,77.000,32.000,227.000,6791.380,80.000,131394.000,0.000
3,MAX_BFA_4_BOTH.tif:cytoplasm:1,259.831,31.954,23.246,9.000,4.000,220.000,8302.712,25.000,160634.000,0.000
4,MAX_BFA_4_BOTH.tif:dendrite 1:1,1.654,9.263,1.967,6.512,5.963,14.000,15.320,9.500,296.403,7.179
5,MAX_BFA_4_BOTH.tif:dendrite 1 background:1,1.654,4.467,0.625,3.999,3.500,6.079,7.388,4.416,142.932,7.179
6,MAX_BFA_4_BOTH.tif:dendrite 2:1,2.429,7.754,1.854,6.477,4.270,11.288,18.837,7.496,364.438,10.562
7,MAX_BFA_4_BOTH.tif:dendrite 2 background:1,2.429,4.414,0.830,3.157,3.149,7.000,10.723,4.289,207.465,10.562
8,MAX_BFA_4_BOTH.tif:dendrite 3:1,1.912,6.670,2.677,4.935,4.102,14.500,12.756,5.607,246.796,8.361
9,MAX_BFA_4_BOTH.tif:dendrite 3 background:1,1.912,4.799,1.517,4.513,3.220,10.658,9.177,4.481,177.558,8.361
10,MAX_BFA_4_BOTH.tif:AIS:1,4.393,32.256,9.273,24.833,18.021,59.048,141.713,30.760,2741.744,19.146
11,MAX_BFA_4_BOTH.tif:AIS background:1,4.393,4.706,0.702,3.995,3.302,6.680,20.675,4.684,400.001,19.146
12,MAX_BFA_4_BOTH.tif:axon:1,27.084,28.317,9.489,20.534,8.948,80.420,766.935,26.901,14838.014,119.120
13,MAX_BFA_4_BOTH.tif:axon background:1,27.084,5.096,3.586,4.042,3.020,50.581,138.015,4.403,2670.209,119.120
14,MAX_BFA_4_BOTH.tif:growth cone:1,136.299,8.099,4.421,5.000,3.000,44.000,1103.882,7.000,21357.000,0.000
15,MAX_BFA_4_BOTH.tif:growth cone background:1,136.299,4.422,1.677,4.000,3.000,37.000,602.672,4.000,11660.000,0.000
