 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BFA_5_soma.tif:cell body:1,352.610,39.467,30.966,10.000,4.000,230.000,13916.608,28.000,269247.000,0.000
2,MAX_BFA_5_soma.tif:nucleus:1,68.124,82.263,18.366,70.000,42.000,209.000,5604.075,80.000,108423.000,0.000
3,MAX_BFA_5_soma.tif:cytoplasm:1,284.486,29.219,23.751,10.000,4.000,230.000,8312.533,21.000,160824.000,0.000
4,MAX_BFA_5_soma.tif:dendrite 1:1,5.220,8.498,2.735,8.166,3.355,16.964,44.365,8.147,858.335,22.792
5,MAX_BFA_5_soma.tif:dendrite 1 background:1,5.220,5.370,3.317,4.005,3.054,24.238,28.031,4.564,542.329,22.792
6,MAX_BFA_5_soma.tif:dendrite 2:1,4.910,6.846,1.719,4.439,3.987,11.000,33.616,6.812,650.377,21.375
7,MAX_BFA_5_soma.tif:dendrite 2 background:1,4.910,4.790,1.409,4.004,3.022,11.000,23.520,4.482,455.041,21.375
8,MAX_BFA_5_soma.tif:dendrite 3:1,3.980,8.629,3.218,4.767,4.741,17.908,34.344,7.619,664.458,17.407
9,MAX_BFA_5_soma.tif:dendrite 3 background:1,3.980,5.123,2.400,4.976,3.270,20.390,20.389,4.619,394.478,17.407
10,MAX_BFA_5_soma.tif:AIS:1,6.358,18.471,4.715,20.021,10.040,32.751,117.429,17.877,2271.915,27.857
11,MAX_BFA_5_soma.tif:AIS background:1,6.358,4.979,1.547,4.516,3.030,14.055,31.652,4.641,612.380,27.857
