 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_DMSO-for-BFA_4_BOTH.tif:cell body:1,253.112,45.721,38.705,7.000,4.000,213.000,0.000,0.000,11572.441,30.000,223894.000,0,0.000
2,MAX_DMSO-for-BFA_4_BOTH.tif:nucleus:1,68.020,98.194,20.672,85.000,49.000,213.000,0.000,0.000,6679.167,96.000,129223.000,0,0.000
3,MAX_DMSO-for-BFA_4_BOTH.tif:cytoplasm:1,185.092,26.437,22.532,7.000,4.000,171.000,0.000,0.000,4893.273,19.000,94671.000,0,0.000
4,MAX_DMSO-for-BFA_4_BOTH.tif:dendrite 1:1,3.411,9.186,2.822,7.025,5.266,18.320,0.000,0.000,31.338,8.929,606.293,0,14.959
5,MAX_DMSO-for-BFA_4_BOTH.tif:dendrite 1 background:1,3.411,4.741,1.469,4.013,3.038,13.658,0.000,0.000,16.174,4.408,312.931,0,14.959
6,MAX_DMSO-for-BFA_4_BOTH.tif:dendrite 2:1,1.757,7.747,1.590,6.143,5.389,11.938,0.000,0.000,13.614,7.575,263.399,0,7.674
7,MAX_DMSO-for-BFA_4_BOTH.tif:dendrite 2 background:1,1.757,6.065,3.029,4.024,4.000,16.502,0.000,0.000,10.658,5.000,206.204,0,7.674
8,MAX_DMSO-for-BFA_4_BOTH.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,30.806,55.132,0.207,4.000,4.000,1,0.000
9,MAX_DMSO-for-BFA_4_BOTH.tif:dendrite 3 background:1,0.000,4.000,0.000,4.000,4.000,4.000,33.079,57.405,0.207,4.000,4.000,1,0.000
10,MAX_DMSO-for-BFA_4_BOTH.tif:AIS:1,5.996,17.557,4.036,16.280,8.908,29.311,0.000,0.000,105.265,17.373,2036.590,0,26.363
11,MAX_DMSO-for-BFA_4_BOTH.tif:AIS background:1,5.996,4.665,1.136,3.992,3.000,9.775,0.000,0.000,27.973,4.516,541.192,0,26.363
12,MAX_DMSO-for-BFA_4_BOTH.tif:axon:1,10.648,18.248,4.951,18.093,9.181,41.543,0.000,0.000,194.292,17.319,3759.001,0,46.637
13,MAX_DMSO-for-BFA_4_BOTH.tif:axon background:1,10.648,4.677,1.222,4.004,3.000,12.015,0.000,0.000,49.796,4.395,963.411,0,46.637
14,MAX_DMSO-for-BFA_4_BOTH.tif:growth cone:1,75.722,11.141,8.680,5.000,3.000,73.000,0.000,0.000,843.586,8.000,16321.000,0,0.000
15,MAX_DMSO-for-BFA_4_BOTH.tif:growth cone background:1,75.773,4.656,2.289,4.000,3.000,40.000,0.000,0.000,352.816,4.000,6826.000,0,0.000
