 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-BFA_6_BOTH.tif:cell body:1,353.747,35.118,29.339,8.000,3.000,228.000,12422.953,23.000,240349.000,0.000
2,MAX_DMSO-for-BFA_6_BOTH.tif:nucleus:1,70.501,76.510,16.869,70.000,29.000,194.000,5394.018,76.000,104359.000,0.000
3,MAX_DMSO-for-BFA_6_BOTH.tif:cytoplasm:1,283.246,24.816,21.717,8.000,3.000,228.000,7028.934,17.000,135990.000,0.000
4,MAX_DMSO-for-BFA_6_BOTH.tif:dendrite 1:1,3.463,7.484,2.515,6.582,4.051,16.879,25.917,7.000,501.430,15.129
5,MAX_DMSO-for-BFA_6_BOTH.tif:dendrite 1 background:1,3.463,4.576,0.888,3.947,3.216,6.997,15.845,4.433,306.562,15.129
6,MAX_DMSO-for-BFA_6_BOTH.tif:dendrite 2:1,2.429,11.375,4.887,5.571,5.537,22.917,27.633,9.362,534.628,10.643
7,MAX_DMSO-for-BFA_6_BOTH.tif:dendrite 2 background:1,2.429,4.696,0.874,4.162,3.289,6.923,11.407,4.598,220.699,10.643
8,MAX_DMSO-for-BFA_6_BOTH.tif:dendrite 3:1,2.636,8.740,2.224,5.833,5.295,14.791,23.040,8.357,445.751,11.413
9,MAX_DMSO-for-BFA_6_BOTH.tif:dendrite 3 background:1,2.636,5.250,0.748,5.007,3.743,7.441,13.839,5.037,267.739,11.413
10,MAX_DMSO-for-BFA_6_BOTH.tif:AIS:1,8.167,15.145,3.698,15.344,7.803,25.930,123.683,15.044,2392.908,35.854
11,MAX_DMSO-for-BFA_6_BOTH.tif:AIS background:1,8.167,4.556,1.032,4.006,3.126,10.766,37.210,4.351,719.913,35.854
12,MAX_DMSO-for-BFA_6_BOTH.tif:axon:1,12.612,14.945,3.891,15.009,6.684,29.000,188.476,14.997,3646.471,55.324
13,MAX_DMSO-for-BFA_6_BOTH.tif:axon background:1,12.612,4.664,1.578,4.009,3.000,17.756,58.822,4.340,1138.038,55.324
14,MAX_DMSO-for-BFA_6_BOTH.tif:growth cone:1,100.893,7.861,4.463,5.000,3.000,69.000,793.139,7.000,15345.000,0.000
15,MAX_DMSO-for-BFA_6_BOTH.tif:growth cone background:1,100.893,4.444,1.485,4.000,3.000,22.000,448.386,4.000,8675.000,0.000
