 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_DMSO-for-clof_3_BOTH.tif:cell body:1,265.207,48.132,37.561,8.000,4.000,230.000,0.000,0.000,12765.018,38.000,246967.000,0,0.000
2,MAX_DMSO-for-clof_3_BOTH.tif:nucleus:1,55.409,95.053,21.278,88.000,39.000,211.000,0.000,0.000,5266.765,93.000,101897.000,0,0.000
3,MAX_DMSO-for-clof_3_BOTH.tif:cytoplasm:1,209.798,35.740,30.476,8.000,4.000,230.000,0.000,0.000,7498.254,24.000,145070.000,0,0.000
4,MAX_DMSO-for-clof_3_BOTH.tif:dendrite 1:1,5.014,8.695,2.832,7.104,4.302,16.776,0.000,0.000,43.591,8.012,843.371,0,22.032
5,MAX_DMSO-for-clof_3_BOTH.tif:dendrite 1 background:1,5.014,4.862,1.853,4.104,3.223,17.771,0.000,0.000,24.376,4.500,471.599,0,22.032
6,MAX_DMSO-for-clof_3_BOTH.tif:dendrite 2:1,3.463,15.930,3.628,12.967,8.705,26.164,0.000,0.000,55.166,15.627,1067.311,0,15.193
7,MAX_DMSO-for-clof_3_BOTH.tif:dendrite 2 background:1,3.463,4.611,0.801,4.515,3.036,7.626,0.000,0.000,15.970,4.519,308.967,0,15.193
8,MAX_DMSO-for-clof_3_BOTH.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,10.799,88.855,0.207,4.000,4.000,1,0.000
9,MAX_DMSO-for-clof_3_BOTH.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,13.073,91.129,0.155,3.000,3.000,1,0.000
10,MAX_DMSO-for-clof_3_BOTH.tif:AIS:1,6.047,15.045,5.914,10.766,6.200,37.373,0.000,0.000,90.983,13.100,1760.259,0,26.582
11,MAX_DMSO-for-clof_3_BOTH.tif:AIS background:1,6.047,4.922,3.372,3.975,3.006,26.612,0.000,0.000,29.768,4.123,575.922,0,26.582
12,MAX_DMSO-for-clof_3_BOTH.tif:axon:1,36.698,15.563,5.708,13.952,6.423,43.849,0.000,0.000,571.118,14.512,11049.526,0,161.296
13,MAX_DMSO-for-clof_3_BOTH.tif:axon background:1,36.698,4.612,1.527,3.996,3.000,21.892,0.000,0.000,169.252,4.277,3274.546,0,161.296
14,MAX_DMSO-for-clof_3_BOTH.tif:growth cone:1,27.911,8.093,3.478,5.000,3.000,28.000,0.000,0.000,225.873,7.000,4370.000,0,0.000
15,MAX_DMSO-for-clof_3_BOTH.tif:growth cone background:1,27.911,4.319,1.684,4.000,3.000,32.000,0.000,0.000,120.534,4.000,2332.000,0,0.000
