 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-clof_6_BOTH.tif:cell body:1,469.991,29.183,26.332,7.000,3.000,251.000,13715.700,18.000,265360.000,0.000
2,MAX_DMSO-for-clof_6_BOTH.tif:nucleus:1,70.708,69.116,23.559,62.000,12.000,226.000,4887.071,67.000,94551.000,0.000
3,MAX_DMSO-for-clof_6_BOTH.tif:cytoplasm:1,399.283,22.111,19.635,7.000,3.000,251.000,8828.629,15.000,170809.000,0.000
4,MAX_DMSO-for-clof_6_BOTH.tif:dendrite 1:1,2.946,14.523,6.075,7.921,5.010,33.132,42.786,13.659,827.791,12.959
5,MAX_DMSO-for-clof_6_BOTH.tif:dendrite 1 background:1,2.946,4.804,0.895,4.008,3.116,9.204,14.152,4.726,273.804,12.959
6,MAX_DMSO-for-clof_6_BOTH.tif:dendrite 2:1,2.171,9.824,3.367,7.690,5.640,18.601,21.328,8.963,412.627,9.390
7,MAX_DMSO-for-clof_6_BOTH.tif:dendrite 2 background:1,2.171,4.878,1.196,4.840,3.116,9.961,10.590,4.629,204.896,9.390
8,MAX_DMSO-for-clof_6_BOTH.tif:dendrite 3:1,0.465,8.095,1.740,5.129,5.119,10.676,3.766,8.250,72.854,1.985
9,MAX_DMSO-for-clof_6_BOTH.tif:dendrite 3 background:1,0.465,4.091,0.540,3.104,3.100,4.853,1.903,4.171,36.823,1.985
10,MAX_DMSO-for-clof_6_BOTH.tif:AIS:1,6.047,16.240,5.342,13.257,7.698,42.836,98.211,15.674,1900.102,26.578
11,MAX_DMSO-for-clof_6_BOTH.tif:AIS background:1,6.047,4.450,0.703,4.002,3.113,6.695,26.909,4.407,520.614,26.578
12,MAX_DMSO-for-clof_6_BOTH.tif:axon:1,26.567,21.332,8.751,18.795,7.085,81.105,566.741,19.865,10964.845,116.760
13,MAX_DMSO-for-clof_6_BOTH.tif:axon background:1,26.567,7.428,7.953,4.163,3.041,85.107,197.352,5.135,3818.199,116.760
14,MAX_DMSO-for-clof_6_BOTH.tif:growth cone:1,57.579,16.516,9.774,7.000,4.000,92.000,950.992,14.000,18399.000,0.000
15,MAX_DMSO-for-clof_6_BOTH.tif:growth cone background:1,57.579,4.866,3.130,4.000,3.000,67.000,280.196,4.000,5421.000,0.000
