 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_clof_1_BOTH.tif:cell body:1,291.671,52.460,53.902,7.000,3.000,255.000,15301.100,27.000,296033.000,0.000
2,MAX_clof_1_BOTH.tif:nucleus:1,49.361,144.294,32.156,118.000,73.000,237.000,7122.540,140.000,137801.000,0.000
3,MAX_clof_1_BOTH.tif:cytoplasm:1,242.309,33.753,34.909,7.000,3.000,255.000,8178.560,20.000,158232.000,0.000
4,MAX_clof_1_BOTH.tif:dendrite 1:1,3.670,7.239,2.541,4.845,4.223,19.389,26.567,6.607,513.992,15.968
5,MAX_clof_1_BOTH.tif:dendrite 1 background:1,3.670,4.380,0.876,4.000,3.000,7.097,16.074,4.184,310.994,15.968
6,MAX_clof_1_BOTH.tif:dendrite 2:1,3.101,12.095,3.290,9.001,5.818,21.638,37.509,11.302,725.697,13.447
7,MAX_clof_1_BOTH.tif:dendrite 2 background:1,3.101,4.943,0.946,4.440,3.533,8.323,15.328,4.747,296.558,13.447
8,MAX_clof_1_BOTH.tif:dendrite 3:1,2.946,10.588,4.613,7.398,4.177,27.407,31.194,9.302,603.523,12.792
9,MAX_clof_1_BOTH.tif:dendrite 3 background:1,2.946,5.177,1.228,4.994,3.441,9.605,15.251,4.876,295.069,12.792
10,MAX_clof_1_BOTH.tif:AIS:1,3.825,28.951,7.502,27.604,12.153,45.253,110.732,29.202,2142.345,16.786
11,MAX_clof_1_BOTH.tif:AIS background:1,3.825,6.724,3.934,4.443,3.787,23.547,25.719,5.042,497.585,16.786
12,MAX_clof_1_BOTH.tif:axon:1,9.407,28.956,8.309,27.497,12.723,62.161,272.390,27.772,5269.972,41.355
13,MAX_clof_1_BOTH.tif:axon background:1,9.407,6.267,7.883,4.102,3.168,98.875,58.954,4.724,1140.602,41.355
14,MAX_clof_1_BOTH.tif:growth cone:1,26.877,19.237,15.182,8.000,4.000,137.000,517.026,14.000,10003.000,0.000
15,MAX_clof_1_BOTH.tif:growth cone background:1,26.877,4.483,4.203,4.000,3.000,66.000,120.483,4.000,2331.000,0.000
