 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_clof_4_BOTH.tif:cell body:1,186.487,43.026,28.202,9.000,4.000,156.000,0.000,0.000,8023.757,38.000,155237.000,0,0.000
2,MAX_clof_4_BOTH.tif:nucleus:1,51.635,71.076,19.035,59.000,36.000,150.000,0.000,0.000,3670.045,67.000,71005.000,0,0.000
3,MAX_clof_4_BOTH.tif:cytoplasm:1,134.852,32.285,23.336,9.000,4.000,156.000,0.000,0.000,4353.711,26.000,84232.000,0,0.000
4,MAX_clof_4_BOTH.tif:dendrite 1:1,2.533,11.524,3.598,7.990,6.651,22.593,0.000,0.000,29.187,10.887,564.689,0,11.085
5,MAX_clof_4_BOTH.tif:dendrite 1 background:1,2.533,7.534,7.923,4.072,3.061,50.105,0.000,0.000,19.082,5.048,369.188,0,11.085
6,MAX_clof_4_BOTH.tif:dendrite 2:1,6.202,21.270,8.585,11.196,9.592,64.344,0.000,0.000,131.927,19.864,2552.411,0,27.200
7,MAX_clof_4_BOTH.tif:dendrite 2 background:1,6.202,7.425,5.661,4.521,3.485,31.417,0.000,0.000,46.055,5.121,891.040,0,27.200
8,MAX_clof_4_BOTH.tif:dendrite 3:1,0.000,3.000,0.000,3.000,3.000,3.000,26.638,62.028,0.155,3.000,3.000,1,0.000
9,MAX_clof_4_BOTH.tif:dendrite 3 background:1,0.000,4.000,0.000,4.000,4.000,4.000,28.911,64.302,0.207,4.000,4.000,1,0.000
10,MAX_clof_4_BOTH.tif:AIS:1,4.704,27.913,9.031,31.295,13.124,59.410,0.000,0.000,131.289,27.113,2540.073,0,20.580
11,MAX_clof_4_BOTH.tif:AIS background:1,4.704,5.651,1.776,4.995,3.170,11.157,0.000,0.000,26.577,4.985,514.198,0,20.580
12,MAX_clof_4_BOTH.tif:axon:1,10.751,21.939,8.330,17.208,8.170,57.926,0.000,0.000,235.860,19.256,4563.215,0,47.135
13,MAX_clof_4_BOTH.tif:axon background:1,10.751,5.083,1.564,4.991,3.218,13.193,0.000,0.000,54.649,4.717,1057.311,0,47.135
14,MAX_clof_4_BOTH.tif:growth cone:1,103.736,9.102,8.181,5.000,3.000,186.000,0.000,0.000,944.221,7.000,18268.000,0,0.000
15,MAX_clof_4_BOTH.tif:growth cone background:1,103.736,4.371,1.010,4.000,3.000,14.000,0.000,0.000,453.400,4.000,8772.000,0,0.000
