 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_clof_6_soma.tif:cell body:1,163.952,75.904,46.328,28.000,5.000,217.000,12444.610,69.000,240768.000,0.000
2,MAX_clof_6_soma.tif:nucleus:1,51.532,123.668,28.138,101.000,64.000,217.000,6372.869,119.000,123297.000,0.000
3,MAX_clof_6_soma.tif:cytoplasm:1,112.420,54.010,35.243,28.000,5.000,197.000,6071.740,45.000,117471.000,0.000
4,MAX_clof_6_soma.tif:dendrite 1:1,3.928,16.176,5.291,16.649,6.129,34.933,63.542,15.853,1229.363,17.186
5,MAX_clof_6_soma.tif:dendrite 1 background:1,3.928,5.046,1.540,3.997,3.004,9.969,19.820,4.599,383.470,17.186
6,MAX_clof_6_soma.tif:dendrite 2:1,2.894,13.657,4.301,8.864,5.415,24.003,39.529,13.521,764.773,12.628
7,MAX_clof_6_soma.tif:dendrite 2 background:1,2.894,4.402,0.845,3.576,3.052,7.312,12.741,4.248,246.506,12.628
8,MAX_clof_6_soma.tif:dendrite 3:1,1.344,12.838,3.571,11.988,5.312,19.151,17.253,12.746,333.790,6.060
9,MAX_clof_6_soma.tif:dendrite 3 background:1,1.344,5.726,1.661,4.700,3.830,10.477,7.695,5.059,148.868,6.060
10,MAX_clof_6_soma.tif:AIS:1,4.290,29.152,8.610,25.996,11.296,54.305,125.062,28.294,2419.593,18.843
11,MAX_clof_6_soma.tif:AIS background:1,4.290,4.514,1.356,4.017,3.207,13.847,19.367,4.292,374.703,18.843
