 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:cell body:1,250.476,491.937,284.149,180.012,158.000,1768.000,123218.475,407.000,2383929.000,0.000
2,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:nucleus:1,65.849,797.688,169.765,875.902,320.000,1386.000,52527.264,796.000,1016254.000,0.000
3,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:cytoplasm:1,184.626,382.888,232.435,180.012,158.000,1768.000,70691.211,299.000,1367675.000,0.000
4,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:dendrite 1:1,3.928,192.669,17.216,194.706,165.384,233.937,756.847,190.681,14642.857,17.082
5,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:dendrite 1 background:1,3.928,159.365,2.548,157.518,156.196,168.503,626.023,159.014,12111.776,17.082
6,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:dendrite 2:1,3.566,172.043,10.736,160.068,157.609,204.249,613.577,169.925,11870.978,15.542
7,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:dendrite 2 background:1,3.566,159.300,3.099,156.576,156.248,171.493,568.130,157.994,10991.705,15.542
8,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:dendrite 3:1,1.292,175.596,10.233,161.401,161.340,192.250,226.901,178.190,4389.898,5.654
9,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:dendrite 3 background:1,1.292,159.226,3.656,157.075,156.035,170.430,205.749,158.258,3980.656,5.654
10,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:AIS:1,6.047,259.985,34.687,238.017,204.396,349.049,1572.232,258.060,30418.234,26.559
11,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:AIS background:1,6.047,159.091,1.913,157.525,156.000,169.702,962.088,158.662,18613.680,26.559
12,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:axon:1,19.900,229.964,45.955,224.836,159.562,403.507,4576.185,224.854,88536.242,87.535
13,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:axon background:1,19.900,160.799,11.824,157.728,156.052,278.667,3199.818,158.509,61907.429,87.535
14,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:growth cone:1,11.475,180.973,18.190,171.914,156.000,240.000,2076.583,176.000,40176.000,0.000
15,SUM_dd7fdc27-21dd-4900-9cae-6c214f7b86a7.tif:growth cone background:1,11.475,158.698,2.392,157.996,156.000,170.000,1820.990,158.000,35231.000,0.000
