 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_7bbd5e08-000d-4b96-ac96-e1e91482df0b.tif:cell body:1,352.610,334.460,202.392,154.602,122.000,1406.000,117933.879,246.000,2281687.000,0.000
2,SUM_7bbd5e08-000d-4b96-ac96-e1e91482df0b.tif:nucleus:1,68.124,663.125,95.034,672.277,420.000,1406.000,45174.510,659.000,873999.000,0.000
3,SUM_7bbd5e08-000d-4b96-ac96-e1e91482df0b.tif:cytoplasm:1,284.486,255.757,128.627,154.771,122.000,1109.000,72759.369,209.000,1407688.000,0.000
4,SUM_7bbd5e08-000d-4b96-ac96-e1e91482df0b.tif:dendrite 1:1,5.220,138.468,9.803,134.672,120.562,165.434,722.857,137.137,13985.235,22.792
5,SUM_7bbd5e08-000d-4b96-ac96-e1e91482df0b.tif:dendrite 1 background:1,5.220,125.581,11.077,120.863,120.108,197.436,655.585,122.408,12683.720,22.792
6,SUM_7bbd5e08-000d-4b96-ac96-e1e91482df0b.tif:dendrite 2:1,4.910,131.944,6.605,126.608,121.762,155.750,647.880,130.688,12534.637,21.375
7,SUM_7bbd5e08-000d-4b96-ac96-e1e91482df0b.tif:dendrite 2 background:1,4.910,124.355,5.841,121.033,120.046,153.750,610.617,122.404,11813.721,21.375
8,SUM_7bbd5e08-000d-4b96-ac96-e1e91482df0b.tif:dendrite 3:1,3.980,138.647,12.560,129.410,123.398,173.862,551.801,135.872,10675.783,17.407
9,SUM_7bbd5e08-000d-4b96-ac96-e1e91482df0b.tif:dendrite 3 background:1,3.980,124.476,6.946,122.121,120.370,173.089,495.404,122.696,9584.665,17.407
10,SUM_7bbd5e08-000d-4b96-ac96-e1e91482df0b.tif:AIS:1,6.358,179.363,15.439,175.681,151.181,227.204,1140.302,176.640,22061.611,27.857
11,SUM_7bbd5e08-000d-4b96-ac96-e1e91482df0b.tif:AIS background:1,6.358,124.776,5.332,123.141,120.060,156.746,793.263,123.086,15347.389,27.857
