 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:cell body:1,236.365,440.735,244.462,170.139,138.000,1235.000,0.000,0.000,104174.555,349.000,2015483.000,0,0.000
2,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:nucleus:1,69.002,762.323,108.208,698.564,420.000,1235.000,0.000,0.000,52602.055,754.000,1017701.000,0,0.000
3,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:cytoplasm:1,167.363,308.148,139.092,178.576,138.000,969.000,0.000,0.000,51572.499,263.000,997782.000,0,0.000
4,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:dendrite 1:1,3.721,153.931,17.085,139.894,135.886,211.899,0.000,0.000,572.849,146.901,11083.001,0,16.164
5,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:dendrite 1 background:1,3.721,135.683,2.397,135.685,132.052,143.751,0.000,0.000,504.939,135.141,9769.151,0,16.164
6,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:dendrite 2:1,0.000,133.000,0.000,133.000,133.000,133.000,80.254,52.745,6.874,133.000,133.000,1,0.000
7,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:dendrite 2 background:1,0.000,132.000,0.000,132.000,132.000,132.000,82.527,55.018,6.823,132.000,132.000,1,0.000
8,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:dendrite 3:1,0.000,133.000,0.000,133.000,133.000,133.000,80.254,52.745,6.874,133.000,133.000,1,0.000
9,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:dendrite 3 background:1,0.000,132.000,0.000,132.000,132.000,132.000,82.527,55.018,6.823,132.000,132.000,1,0.000
10,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:AIS:1,7.546,175.819,19.622,180.542,146.510,241.725,0.000,0.000,1326.790,173.219,25669.638,0,33.050
11,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:AIS background:1,7.546,136.698,5.856,134.034,132.000,163.557,0.000,0.000,1031.565,134.572,19957.872,0,33.050
12,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:axon:1,34.682,178.125,18.564,162.168,143.207,254.792,0.000,0.000,6177.729,174.982,119521.576,0,152.556
13,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:axon background:1,34.682,139.617,11.147,133.574,132.000,221.560,0.000,0.000,4842.208,135.143,93683.026,0,152.556
14,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:growth cone:1,75.928,147.893,11.486,137.250,132.000,260.000,0.000,0.000,11229.290,145.000,217255.000,0,0.000
15,SUM_9d7a4da4-9836-42e5-a900-bb1c39ff7055.tif:growth cone background:1,75.928,133.990,2.705,132.080,132.000,173.000,0.000,0.000,10173.632,133.000,196831.000,0,0.000
