 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:cell body:1,253.112,395.140,277.246,140.775,124.000,1351.000,0.000,0.000,100014.567,257.000,1934999.000,0,0.000
2,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:nucleus:1,68.020,805.660,122.856,875.371,373.000,1351.000,0.000,0.000,54801.240,814.000,1060249.000,0,0.000
3,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:cytoplasm:1,185.092,244.275,121.902,150.529,124.000,923.000,0.000,0.000,45213.327,201.000,874750.000,0,0.000
4,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:dendrite 1:1,3.411,144.180,9.723,137.668,129.103,170.089,0.000,0.000,491.849,142.843,9515.891,0,14.959
5,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:dendrite 1 background:1,3.411,126.681,4.505,124.423,123.038,153.858,0.000,0.000,432.154,125.694,8360.962,0,14.959
6,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:dendrite 2:1,1.757,139.894,4.903,143.503,130.893,152.928,0.000,0.000,245.845,139.797,4756.401,0,7.674
7,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:dendrite 2 background:1,1.757,131.568,10.037,125.801,124.356,167.876,0.000,0.000,231.213,128.113,4473.325,0,7.674
8,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:dendrite 3:1,0.000,124.000,0.000,124.000,124.000,124.000,30.806,55.132,6.409,124.000,124.000,1,0.000
9,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:dendrite 3 background:1,0.000,124.000,0.000,124.000,124.000,124.000,33.079,57.405,6.409,124.000,124.000,1,0.000
10,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:AIS:1,5.996,181.418,15.459,167.564,149.078,216.207,0.000,0.000,1087.727,181.219,21044.432,0,26.363
11,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:AIS background:1,5.996,126.238,3.014,124.059,123.000,140.485,0.000,0.000,756.887,125.316,14643.630,0,26.363
12,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:axon:1,10.648,183.485,18.122,169.307,150.061,251.652,0.000,0.000,1953.665,180.982,37797.887,0,46.637
13,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:axon background:1,10.648,126.334,3.361,124.757,123.000,147.310,0.000,0.000,1345.144,125.578,26024.737,0,46.637
14,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:growth cone:1,75.722,156.798,41.275,131.525,123.000,414.000,0.000,0.000,11873.002,142.000,229709.000,0,0.000
15,SUM_08adf601-ee4b-4b96-8508-c9e034da588a.tif:growth cone background:1,75.722,126.322,7.061,124.143,123.000,240.000,0.000,0.000,9565.326,125.000,185062.000,0,0.000
