 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:cell body:1,381.193,306.705,165.368,154.918,141.000,1159.000,116913.626,230.000,2261948.000,0.000
2,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:nucleus:1,79.960,546.048,100.057,523.725,258.000,1159.000,43661.989,541.000,844736.000,0.000
3,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:cytoplasm:1,301.233,243.173,112.716,162.379,141.000,983.000,73251.637,197.000,1417212.000,0.000
4,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:dendrite 1:1,2.274,156.323,6.447,149.773,145.659,175.329,355.516,154.881,6878.223,9.979
5,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:dendrite 1 background:1,2.274,143.197,1.538,142.952,141.131,147.936,325.664,143.068,6300.686,9.979
6,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:dendrite 2:1,1.964,151.133,4.707,146.370,145.204,167.306,296.841,149.645,5743.037,8.498
7,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:dendrite 2 background:1,1.964,143.897,2.350,141.936,141.254,155.218,282.629,143.425,5468.080,8.498
8,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:dendrite 3:1,2.067,158.056,8.254,148.227,146.683,184.336,326.779,157.484,6322.253,9.043
9,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:dendrite 3 background:1,2.067,143.214,1.405,142.936,141.203,146.925,296.093,142.941,5728.559,9.043
10,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:AIS:1,5.686,268.318,50.361,252.119,171.587,361.599,1525.546,258.463,29514.998,24.921
11,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:AIS background:1,5.686,148.183,8.361,143.288,141.253,196.084,842.504,144.242,16300.079,24.921
12,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:axon:1,17.522,223.109,51.056,155.970,149.988,428.411,3909.295,216.969,75633.797,76.991
13,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:axon background:1,17.522,143.410,1.472,143.350,141.022,149.723,2512.817,143.158,48615.898,76.991
14,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:growth cone:1,44.451,153.988,10.522,144.080,141.000,224.000,6844.928,151.000,132430.000,0.000
15,SUM_f7367602-746f-481d-ad1e-f7817966cf0e.tif:growth cone background:1,44.451,143.653,3.669,141.967,141.000,196.000,6385.533,143.000,123542.000,0.000
