 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:cell body:1,265.207,406.915,251.536,157.916,143.000,1234.000,0.000,0.000,107916.549,307.000,2087880.000,0,0.000
2,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:nucleus:1,55.409,795.991,106.642,750.482,353.000,1234.000,0.000,0.000,44104.741,790.000,853302.000,0,0.000
3,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:cytoplasm:1,209.798,304.158,162.578,167.463,143.000,978.000,0.000,0.000,63811.808,233.000,1234578.000,0,0.000
4,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:dendrite 1:1,5.014,158.571,7.993,162.073,146.347,181.506,0.000,0.000,795.019,157.087,15381.364,0,22.032
5,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:dendrite 1 background:1,5.014,144.987,4.991,142.677,141.223,180.392,0.000,0.000,726.916,143.968,14063.771,0,22.032
6,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:dendrite 2:1,3.463,186.345,11.180,180.084,159.240,212.336,0.000,0.000,645.319,185.767,12485.092,0,15.193
7,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:dendrite 2 background:1,3.463,144.352,2.518,144.401,141.072,154.286,0.000,0.000,499.895,143.672,9671.551,0,15.193
8,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:dendrite 3:1,0.000,142.000,0.000,142.000,142.000,142.000,10.799,88.855,7.340,142.000,142.000,1,0.000
9,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:dendrite 3 background:1,0.000,141.000,0.000,141.000,141.000,141.000,13.073,91.129,7.288,141.000,141.000,1,0.000
10,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:AIS:1,6.047,187.457,23.186,183.162,155.600,247.833,0.000,0.000,1133.625,181.244,21932.441,0,26.582
11,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:AIS background:1,6.047,145.733,12.735,142.504,141.013,225.834,0.000,0.000,881.308,142.859,17050.811,0,26.582
12,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:axon:1,36.698,188.184,19.586,184.277,153.987,286.539,0.000,0.000,6905.967,184.573,133610.932,0,161.296
13,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:axon background:1,36.698,144.433,5.575,142.402,141.000,206.242,0.000,0.000,5300.387,143.139,102547.500,0,161.296
14,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:growth cone:1,27.911,156.881,9.735,152.924,141.000,196.000,0.000,0.000,4378.728,155.000,84716.000,0,0.000
15,SUM_ed38fecd-d2af-4e1e-acd4-7b1e715dcf6d.tif:growth cone background:1,27.911,143.459,4.906,141.898,141.000,233.000,0.000,0.000,4004.099,143.000,77468.000,0,0.000
