 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:cell body:1,213.313,663.997,409.750,254.934,154.000,1936.000,141638.997,532.000,2740314.000,0.000
2,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:nucleus:1,59.285,1208.431,219.811,1126.574,502.000,1936.000,71641.996,1219.000,1386070.000,0.000
3,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:cytoplasm:1,154.028,454.444,236.431,204.469,154.000,1514.000,69997.001,390.000,1354244.000,0.000
4,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:dendrite 1:1,5.272,217.970,49.108,179.480,165.898,423.443,1149.159,201.804,22232.974,23.189
5,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:dendrite 1 background:1,5.272,151.691,7.248,146.047,144.963,177.636,799.727,148.876,15472.464,23.189
6,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:dendrite 2:1,1.085,203.254,29.408,178.999,165.262,250.000,220.618,206.900,4268.329,4.654
7,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:dendrite 2 background:1,1.085,161.086,21.480,148.311,144.852,221.846,174.848,149.660,3382.812,4.654
8,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:dendrite 3:1,2.481,204.387,21.254,178.943,170.275,264.700,507.081,202.246,9810.578,10.917
9,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:dendrite 3 background:1,2.481,150.765,8.489,147.046,144.298,184.506,374.046,147.408,7236.740,10.917
10,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:AIS:1,3.308,357.230,85.680,248.988,220.400,616.000,1181.708,377.992,22862.703,14.544
11,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:AIS background:1,3.308,147.733,2.696,146.360,144.100,164.404,488.696,147.098,9454.882,14.544
12,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:axon:1,11.113,316.819,81.758,295.580,188.749,719.796,3520.723,303.133,68116.036,48.886
13,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:axon background:1,11.113,147.426,2.638,146.906,144.000,166.206,1638.305,147.055,31696.576,48.886
14,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:growth cone:1,18.711,206.378,50.642,163.352,147.000,511.000,3861.495,191.000,74709.000,0.000
15,SUM_e313b7a0-134e-43ea-9343-6421be01be1d.tif:growth cone background:1,18.711,146.561,2.197,146.010,144.000,165.000,2742.261,146.000,53055.000,0.000
