 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:cell body:1,186.487,340.164,166.532,170.838,130.000,851.000,0.000,0.000,63436.249,285.000,1227312.000,0,0.000
2,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:nucleus:1,51.635,543.992,95.571,506.957,309.000,851.000,0.000,0.000,28089.274,539.000,543448.000,0,0.000
3,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:cytoplasm:1,134.852,262.117,113.372,171.959,130.000,781.000,0.000,0.000,35346.975,227.000,683864.000,0,0.000
4,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:dendrite 1:1,2.533,152.455,11.875,172.057,136.760,186.003,0.000,0.000,386.117,149.653,7470.274,0,11.085
5,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:dendrite 1 background:1,2.533,137.896,22.124,129.476,126.212,254.742,0.000,0.000,349.245,130.645,6756.896,0,11.085
6,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:dendrite 2:1,6.202,192.978,28.723,156.931,148.809,282.952,0.000,0.000,1196.937,188.828,23157.348,0,27.200
7,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:dendrite 2 background:1,6.202,141.237,23.090,131.171,126.756,234.392,0.000,0.000,876.016,131.257,16948.440,0,27.200
8,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:dendrite 3:1,0.000,126.000,0.000,126.000,126.000,126.000,26.638,62.028,6.513,126.000,126.000,1,0.000
9,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:dendrite 3 background:1,0.000,127.000,0.000,127.000,127.000,127.000,28.911,64.302,6.564,127.000,127.000,1,0.000
10,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:AIS:1,4.704,225.065,36.249,184.374,162.532,304.091,0.000,0.000,1058.601,216.638,20480.939,0,20.580
11,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:AIS background:1,4.704,133.186,5.917,128.127,126.364,149.507,0.000,0.000,626.446,130.318,12119.963,0,20.580
12,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:axon:1,10.751,198.128,32.766,177.679,146.827,289.134,0.000,0.000,2130.061,188.061,41210.649,0,47.135
13,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:axon background:1,10.751,131.095,5.329,128.256,126.388,159.379,0.000,0.000,1409.392,129.426,27267.751,0,47.135
14,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:growth cone:1,103.736,145.363,25.771,137.945,126.000,682.000,0.000,0.000,15079.362,138.000,291743.000,0,0.000
15,SUM_54a9eb51-17d8-4cf8-90f8-0a2e5ef285ce.tif:growth cone background:1,103.736,128.487,2.145,126.984,126.000,150.000,0.000,0.000,13328.770,128.000,257874.000,0,0.000
