 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:cell body:1,325.215,407.986,357.188,147.508,127.000,2227.000,132683.425,236.000,2567049.000,0.000
2,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:nucleus:1,49.568,1097.967,238.405,1223.377,424.000,2227.000,54423.976,1095.000,1052950.000,0.000
3,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:cytoplasm:1,275.648,283.911,198.231,154.914,127.000,1715.000,78259.449,206.000,1514099.000,0.000
4,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:dendrite 1:1,3.411,155.264,14.883,150.940,133.952,218.400,529.660,151.616,10247.430,14.816
5,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:dendrite 1 background:1,3.411,128.465,1.856,126.045,126.024,136.845,438.241,128.230,8478.722,14.816
6,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:dendrite 2:1,1.964,146.081,15.702,133.621,128.742,200.113,286.920,142.998,5551.095,8.519
7,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:dendrite 2 background:1,1.964,128.470,2.437,127.537,126.004,138.462,252.330,127.679,4881.865,8.519
8,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:dendrite 3:1,1.551,150.781,12.797,148.050,131.616,178.101,233.802,148.283,4523.415,6.816
9,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:dendrite 3 background:1,1.551,129.395,3.286,128.154,126.145,142.470,200.642,128.481,3881.852,6.816
10,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:AIS:1,6.306,250.715,39.391,224.049,193.993,473.783,1580.968,243.953,30587.257,27.627
11,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:AIS background:1,6.306,128.902,2.269,127.713,126.031,138.881,812.834,128.380,15726.035,27.627
12,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:axon:1,13.232,261.413,44.635,222.957,198.266,446.142,3458.993,253.480,66921.739,58.090
13,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:axon background:1,13.232,131.465,9.641,127.778,126.072,193.244,1739.534,128.550,33655.053,58.090
14,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:growth cone:1,27.601,179.745,52.751,134.555,126.000,418.000,4961.139,160.000,95984.000,0.000
15,SUM_2cc9b06b-0da1-4369-8263-1d0970583225.tif:growth cone background:1,27.601,128.294,2.492,126.039,126.000,146.000,3541.034,128.000,68509.000,0.000
