 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_3e2712b9-5253-41c4-911a-c6a0d4a3c619.tif:cell body:1,163.952,600.654,319.025,288.496,160.000,1450.000,98478.167,509.000,1905274.000,0.000
2,SUM_3e2712b9-5253-41c4-911a-c6a0d4a3c619.tif:nucleus:1,51.532,972.739,154.202,988.680,478.000,1450.000,50127.275,970.000,969821.000,0.000
3,SUM_3e2712b9-5253-41c4-911a-c6a0d4a3c619.tif:cytoplasm:1,112.420,430.093,212.042,244.629,160.000,1398.000,48350.891,371.000,935453.000,0.000
4,SUM_3e2712b9-5253-41c4-911a-c6a0d4a3c619.tif:dendrite 1:1,3.928,199.814,19.170,192.175,163.722,262.824,784.913,195.402,15185.855,17.186
5,SUM_3e2712b9-5253-41c4-911a-c6a0d4a3c619.tif:dendrite 1 background:1,3.928,154.595,4.214,151.555,150.009,167.607,607.282,152.844,11749.185,17.186
6,SUM_3e2712b9-5253-41c4-911a-c6a0d4a3c619.tif:dendrite 2:1,2.894,186.743,16.212,168.987,159.048,230.719,540.523,185.871,10457.584,12.628
7,SUM_3e2712b9-5253-41c4-911a-c6a0d4a3c619.tif:dendrite 2 background:1,2.894,152.863,1.814,152.014,150.111,158.436,442.460,152.614,8560.347,12.628
8,SUM_3e2712b9-5253-41c4-911a-c6a0d4a3c619.tif:dendrite 3:1,1.344,185.513,13.031,170.062,161.651,208.973,249.304,183.128,4823.337,6.060
9,SUM_3e2712b9-5253-41c4-911a-c6a0d4a3c619.tif:dendrite 3 background:1,1.344,157.932,6.472,151.366,151.320,174.832,212.239,155.427,4106.220,6.060
10,SUM_3e2712b9-5253-41c4-911a-c6a0d4a3c619.tif:AIS:1,4.290,243.146,30.743,207.682,182.236,319.375,1043.106,244.071,20181.145,18.843
11,SUM_3e2712b9-5253-41c4-911a-c6a0d4a3c619.tif:AIS background:1,4.290,153.025,3.137,151.861,150.210,173.050,656.480,152.167,12701.036,18.843
