 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BCAP31-biotin_GFP_6_soma.tif:cell body:1,169.896,78.745,24.132,74.000,16.000,203.000,13378.390,79.000,258834.000,0.000
2,MAX_BCAP31-biotin_GFP_6_soma.tif:nucleus:1,65.694,89.740,18.048,93.000,35.000,195.000,5895.384,90.000,114059.000,0.000
3,MAX_BCAP31-biotin_GFP_6_soma.tif:cytoplasm:1,104.201,71.813,24.900,64.000,16.000,203.000,7483.006,70.000,144775.000,0.000
4,MAX_BCAP31-biotin_GFP_6_soma.tif:dendrite 1:1,5.375,42.204,11.861,30.445,19.188,83.948,226.865,41.141,4389.206,23.570
5,MAX_BCAP31-biotin_GFP_6_soma.tif:dendrite 1 background:1,5.375,11.788,5.314,8.228,4.752,32.133,63.365,10.431,1225.930,23.570
6,MAX_BCAP31-biotin_GFP_6_soma.tif:dendrite 2:1,6.978,21.557,12.254,18.664,6.000,77.250,150.419,19.878,2910.175,30.598
7,MAX_BCAP31-biotin_GFP_6_soma.tif:dendrite 2 background:1,6.978,12.554,9.148,5.117,4.478,51.199,87.597,9.285,1694.762,30.598
8,MAX_BCAP31-biotin_GFP_6_soma.tif:dendrite 3:1,4.600,27.590,32.072,7.547,7.159,205.636,126.919,20.300,2455.533,20.066
9,MAX_BCAP31-biotin_GFP_6_soma.tif:dendrite 3 background:1,4.600,21.650,19.676,7.702,7.071,114.855,99.593,14.643,1926.841,20.066
10,MAX_BCAP31-biotin_GFP_6_soma.tif:AIS:1,5.789,27.065,18.285,15.322,8.111,119.990,156.679,21.186,3031.294,25.472
11,MAX_BCAP31-biotin_GFP_6_soma.tif:AIS background:1,5.789,25.005,15.385,10.171,7.901,85.387,144.753,18.978,2800.565,25.472
