 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_ERGIC53_Mut2_4_soma.tif:cell body:1,204.888,93.293,30.156,100.000,22.000,196.000,19114.577,94.000,369813.000,0.000
2,MAX_ERGIC53_Mut2_4_soma.tif:nucleus:1,53.910,65.058,15.312,57.000,38.000,196.000,3507.283,62.000,67856.000,0.000
3,MAX_ERGIC53_Mut2_4_soma.tif:cytoplasm:1,150.978,103.375,27.643,100.000,22.000,179.000,15607.294,104.000,301957.000,0.000
4,MAX_ERGIC53_Mut2_4_soma.tif:dendrite 1:1,9.407,35.484,11.240,30.435,13.128,73.407,333.799,34.285,6458.067,41.330
5,MAX_ERGIC53_Mut2_4_soma.tif:dendrite 1 background:1,9.407,16.785,8.562,9.949,5.000,66.802,157.895,16.104,3054.822,41.330
6,MAX_ERGIC53_Mut2_4_soma.tif:dendrite 2:1,8.787,71.555,13.794,73.995,32.396,100.443,628.745,72.762,12164.430,38.442
7,MAX_ERGIC53_Mut2_4_soma.tif:dendrite 2 background:1,8.787,19.866,17.568,7.003,5.046,148.171,174.559,15.480,3377.233,38.442
8,MAX_ERGIC53_Mut2_4_soma.tif:dendrite 3:1,7.805,83.296,25.659,73.414,54.245,210.033,650.104,75.148,12577.674,34.218
9,MAX_ERGIC53_Mut2_4_soma.tif:dendrite 3 background:1,7.805,49.137,18.785,24.175,16.504,128.723,383.505,49.940,7419.743,34.218
10,MAX_ERGIC53_Mut2_4_soma.tif:AIS:1,8.890,36.692,9.621,35.832,15.991,66.034,326.194,35.632,6310.939,38.947
11,MAX_ERGIC53_Mut2_4_soma.tif:AIS background:1,8.890,18.291,9.002,23.488,4.559,51.836,162.611,17.458,3146.069,38.947
