 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_ERGIC53_Mut2_5_soma.tif:cell body:1,126.272,96.210,24.213,96.000,23.000,180.000,0.000,0.000,12148.546,97.000,235040.000,0,0.000
2,MAX_ERGIC53_Mut2_5_soma.tif:nucleus:1,33.648,83.690,16.853,87.000,51.000,180.000,0.000,0.000,2816.019,82.000,54482.000,0,0.000
3,MAX_ERGIC53_Mut2_5_soma.tif:cytoplasm:1,92.623,100.758,24.871,121.000,23.000,173.000,0.000,0.000,9332.527,104.000,180558.000,0,0.000
4,MAX_ERGIC53_Mut2_5_soma.tif:dendrite 1:1,9.924,36.637,11.329,30.206,12.112,76.000,0.000,0.000,363.583,36.314,7034.297,0,43.604
5,MAX_ERGIC53_Mut2_5_soma.tif:dendrite 1 background:1,9.924,21.156,10.925,16.726,5.059,60.883,0.000,0.000,209.954,18.609,4062.025,0,43.604
6,MAX_ERGIC53_Mut2_5_soma.tif:dendrite 2:1,9.252,76.544,29.507,55.039,35.173,186.985,0.000,0.000,708.183,68.478,13701.330,0,40.484
7,MAX_ERGIC53_Mut2_5_soma.tif:dendrite 2 background:1,9.252,47.543,34.666,5.330,5.065,140.456,0.000,0.000,439.869,38.085,8510.218,0,40.484
8,MAX_ERGIC53_Mut2_5_soma.tif:dendrite 3:1,0.000,8.000,0.000,8.000,8.000,8.000,78.662,91.849,0.413,8.000,8.000,3,0.000
9,MAX_ERGIC53_Mut2_5_soma.tif:dendrite 3 background:1,0.000,7.000,0.000,7.000,7.000,7.000,80.936,94.122,0.362,7.000,7.000,3,0.000
10,MAX_ERGIC53_Mut2_5_soma.tif:AIS:1,10.182,23.325,14.794,15.578,5.378,97.000,0.000,0.000,237.508,19.850,4595.110,0,44.763
11,MAX_ERGIC53_Mut2_5_soma.tif:AIS background:1,10.182,12.566,9.911,4.983,4.110,68.000,0.000,0.000,127.949,8.941,2475.444,0,44.763
