 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_ERGIC53_WT_4_soma.tif:cell body:1,176.667,60.157,21.690,69.000,9.000,251.000,10627.703,61.000,205616.000,0.000
2,MAX_ERGIC53_WT_4_soma.tif:nucleus:1,40.678,59.892,13.491,47.000,36.000,185.000,2436.273,58.000,47135.000,0.000
3,MAX_ERGIC53_WT_4_soma.tif:cytoplasm:1,135.989,60.236,23.597,69.000,9.000,251.000,8191.430,62.000,158481.000,0.000
4,MAX_ERGIC53_WT_4_soma.tif:dendrite 1:1,5.531,31.268,6.006,25.675,21.247,55.088,172.930,30.146,3345.714,24.233
5,MAX_ERGIC53_WT_4_soma.tif:dendrite 1 background:1,5.531,11.855,22.747,4.996,3.425,164.326,65.565,5.622,1268.491,24.233
6,MAX_ERGIC53_WT_4_soma.tif:dendrite 2:1,6.719,26.854,7.173,26.371,13.125,53.734,180.441,26.400,3491.023,29.445
7,MAX_ERGIC53_WT_4_soma.tif:dendrite 2 background:1,6.719,11.885,5.978,7.440,4.363,34.083,79.856,11.162,1544.986,29.445
8,MAX_ERGIC53_WT_4_soma.tif:dendrite 3:1,5.841,31.094,15.313,28.162,14.555,132.637,181.606,28.303,3513.572,25.652
9,MAX_ERGIC53_WT_4_soma.tif:dendrite 3 background:1,5.841,9.480,10.287,5.372,4.160,92.769,55.372,7.000,1071.287,25.652
10,MAX_ERGIC53_WT_4_soma.tif:AIS:1,8.115,15.986,5.081,13.932,6.659,30.380,129.727,15.767,2509.850,35.688
11,MAX_ERGIC53_WT_4_soma.tif:AIS background:1,8.115,9.899,6.477,4.950,4.117,36.940,80.325,7.500,1554.066,35.688
