 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SLC38A1_GFP_6_soma.tif:cell body:1,355.608,102.344,35.625,140.000,15.000,188.000,36394.312,105.000,704127.000,0.000
2,MAX_SLC38A1_GFP_6_soma.tif:nucleus:1,171.911,129.034,24.297,140.000,17.000,188.000,22182.415,133.000,429167.000,0.000
3,MAX_SLC38A1_GFP_6_soma.tif:cytoplasm:1,183.696,77.366,24.776,86.000,15.000,165.000,14211.896,78.000,274960.000,0.000
4,MAX_SLC38A1_GFP_6_soma.tif:dendrite 1:1,8.115,43.861,11.265,40.051,16.732,69.795,355.926,43.244,6886.163,35.640
5,MAX_SLC38A1_GFP_6_soma.tif:dendrite 1 background:1,8.115,34.568,16.091,40.688,7.474,81.734,280.512,33.104,5427.112,35.640
6,MAX_SLC38A1_GFP_6_soma.tif:dendrite 2:1,7.701,42.270,15.465,39.849,16.573,86.265,325.541,38.234,6298.298,33.799
7,MAX_SLC38A1_GFP_6_soma.tif:dendrite 2 background:1,7.701,29.063,15.698,12.369,9.000,78.003,223.824,26.654,4330.352,33.799
8,MAX_SLC38A1_GFP_6_soma.tif:dendrite 3:1,6.047,41.082,9.888,31.246,22.665,70.944,248.436,39.135,4806.541,26.451
9,MAX_SLC38A1_GFP_6_soma.tif:dendrite 3 background:1,6.047,21.824,10.435,12.285,8.240,50.505,131.980,18.126,2553.445,26.451
10,MAX_SLC38A1_GFP_6_soma.tif:AIS:1,10.131,50.481,16.761,49.020,10.329,97.598,511.409,49.434,9894.308,44.463
11,MAX_SLC38A1_GFP_6_soma.tif:AIS background:1,10.131,33.726,15.385,32.894,9.678,82.601,341.667,31.934,6610.298,44.463
