 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SLC38A1_WT_2_soma.tif:cell body:1,242.154,97.629,34.202,119.000,10.000,182.000,23641.388,102.000,457394.000,0.000
2,MAX_SLC38A1_WT_2_soma.tif:nucleus:1,41.815,130.326,14.416,127.000,78.000,177.000,5449.582,130.000,105434.000,0.000
3,MAX_SLC38A1_WT_2_soma.tif:cytoplasm:1,200.339,90.805,33.180,96.000,10.000,182.000,18191.806,91.000,351960.000,0.000
4,MAX_SLC38A1_WT_2_soma.tif:dendrite 1:1,8.580,69.705,25.094,57.776,32.006,144.777,598.075,61.757,11571.051,37.617
5,MAX_SLC38A1_WT_2_soma.tif:dendrite 1 background:1,8.580,67.970,44.743,29.650,9.833,161.266,583.187,57.875,11283.028,37.617
6,MAX_SLC38A1_WT_2_soma.tif:dendrite 2:1,8.580,57.473,15.341,51.353,23.830,93.937,493.122,54.657,9540.525,37.524
7,MAX_SLC38A1_WT_2_soma.tif:dendrite 2 background:1,8.580,19.390,13.516,8.049,6.130,63.916,166.364,13.558,3218.666,37.524
8,MAX_SLC38A1_WT_2_soma.tif:dendrite 3:1,5.169,68.669,14.703,55.075,38.200,106.230,354.932,66.575,6866.940,22.524
9,MAX_SLC38A1_WT_2_soma.tif:dendrite 3 background:1,5.169,45.311,19.516,43.610,10.340,107.680,234.200,44.572,4531.101,22.524
10,MAX_SLC38A1_WT_2_soma.tif:AIS:1,9.976,36.025,15.439,17.156,11.444,82.774,359.372,33.755,6952.841,43.774
11,MAX_SLC38A1_WT_2_soma.tif:AIS background:1,9.976,46.290,27.480,13.057,6.737,111.125,461.773,44.942,8934.003,43.774
