 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_SURF4_Mut2_3_soma.tif:cell body:1,191.036,9.564,2.667,8.000,4.000,26.000,0.000,0.000,1826.985,9.000,35347.000,0,0.000
2,MAX_SURF4_Mut2_3_soma.tif:nucleus:1,42.487,8.391,1.384,8.000,5.000,16.000,0.000,0.000,356.486,8.000,6897.000,0,0.000
3,MAX_SURF4_Mut2_3_soma.tif:cytoplasm:1,148.549,9.899,2.845,8.000,4.000,26.000,0.000,0.000,1470.499,10.000,28450.000,0,0.000
4,MAX_SURF4_Mut2_3_soma.tif:dendrite 1:1,8.787,6.534,1.017,5.993,4.959,10.652,0.000,0.000,57.412,6.448,1110.767,0,38.647
5,MAX_SURF4_Mut2_3_soma.tif:dendrite 1 background:1,8.787,3.702,0.811,3.007,3.000,6.660,0.000,0.000,32.525,3.534,629.267,0,38.647
6,MAX_SURF4_Mut2_3_soma.tif:dendrite 2:1,8.012,6.781,1.489,5.578,4.000,12.000,0.000,0.000,54.326,6.889,1051.055,0,35.097
7,MAX_SURF4_Mut2_3_soma.tif:dendrite 2 background:1,8.012,4.777,1.271,3.010,3.000,8.311,0.000,0.000,38.270,4.655,740.417,0,35.097
8,MAX_SURF4_Mut2_3_soma.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,13.868,66.840,0.207,4.000,4.000,3,0.000
9,MAX_SURF4_Mut2_3_soma.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,16.142,69.114,0.155,3.000,3.000,3,0.000
10,MAX_SURF4_Mut2_3_soma.tif:AIS:1,7.288,5.469,1.009,5.006,3.916,9.229,0.000,0.000,39.858,5.253,771.136,0,32.040
11,MAX_SURF4_Mut2_3_soma.tif:AIS background:1,7.288,3.611,0.567,3.005,3.000,5.744,0.000,0.000,26.318,3.554,509.181,0,32.040
