 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SURF4_Mut2_5_soma.tif:cell body:1,274.510,8.381,1.845,8.000,3.000,17.000,2300.698,8.000,44512.000,0.000
2,MAX_SURF4_Mut2_5_soma.tif:nucleus:1,61.766,7.497,1.056,7.000,5.000,12.000,463.065,7.000,8959.000,0.000
3,MAX_SURF4_Mut2_5_soma.tif:cytoplasm:1,212.744,8.638,1.943,8.000,3.000,17.000,1837.633,9.000,35553.000,0.000
4,MAX_SURF4_Mut2_5_soma.tif:dendrite 1:1,7.133,4.929,0.654,5.000,3.589,6.691,35.157,5.000,680.179,31.321
5,MAX_SURF4_Mut2_5_soma.tif:dendrite 1 background:1,7.133,3.854,0.857,3.006,3.000,6.112,27.490,3.636,531.855,31.321
6,MAX_SURF4_Mut2_5_soma.tif:dendrite 2:1,8.683,6.481,1.030,6.003,4.277,10.130,56.276,6.373,1088.787,38.150
7,MAX_SURF4_Mut2_5_soma.tif:dendrite 2 background:1,8.683,3.993,0.725,3.998,3.000,6.786,34.672,4.000,670.804,38.150
8,MAX_SURF4_Mut2_5_soma.tif:dendrite 3:1,9.717,4.453,0.540,3.997,3.577,6.366,43.275,4.311,837.244,42.667
9,MAX_SURF4_Mut2_5_soma.tif:dendrite 3 background:1,9.717,3.581,0.813,3.008,3.000,6.984,34.798,3.231,673.253,42.667
10,MAX_SURF4_Mut2_5_soma.tif:AIS:1,11.940,4.250,0.839,3.999,3.000,7.449,50.749,4.084,981.853,52.428
11,MAX_SURF4_Mut2_5_soma.tif:AIS background:1,11.940,3.571,0.684,3.005,3.000,5.613,42.635,3.283,824.866,52.428
