 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_SURF4_WT_3_soma.tif:cell body:1,108.181,16.624,5.278,16.000,4.000,37.000,0.000,0.000,1798.454,16.000,34795.000,0,0.000
2,MAX_SURF4_WT_3_soma.tif:nucleus:1,38.042,16.322,2.920,16.000,11.000,28.000,0.000,0.000,620.918,16.000,12013.000,0,0.000
3,MAX_SURF4_WT_3_soma.tif:cytoplasm:1,70.139,16.789,6.187,17.000,4.000,37.000,0.000,0.000,1177.536,17.000,22782.000,0,0.000
4,MAX_SURF4_WT_3_soma.tif:dendrite 1:1,10.596,10.415,2.055,9.527,5.834,21.995,0.000,0.000,110.360,10.488,2135.163,0,46.470
5,MAX_SURF4_WT_3_soma.tif:dendrite 1 background:1,10.596,5.323,1.996,3.021,3.000,13.742,0.000,0.000,56.406,5.087,1091.288,0,46.470
6,MAX_SURF4_WT_3_soma.tif:dendrite 2:1,10.286,9.766,2.518,7.020,5.001,18.427,0.000,0.000,100.450,9.548,1943.431,0,45.052
7,MAX_SURF4_WT_3_soma.tif:dendrite 2 background:1,10.286,3.703,0.893,3.007,3.000,6.813,0.000,0.000,38.087,3.247,736.871,0,45.052
8,MAX_SURF4_WT_3_soma.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,90.030,19.779,0.207,4.000,4.000,3,0.000
9,MAX_SURF4_WT_3_soma.tif:dendrite 3 background:1,0.000,6.000,0.000,6.000,6.000,6.000,92.303,22.053,0.310,6.000,6.000,3,0.000
10,MAX_SURF4_WT_3_soma.tif:AIS:1,0.000,4.000,0.000,4.000,4.000,4.000,90.030,19.779,0.207,4.000,4.000,3,0.000
11,MAX_SURF4_WT_3_soma.tif:AIS background:1,0.000,6.000,0.000,6.000,6.000,6.000,92.303,22.053,0.310,6.000,6.000,3,0.000
