 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_4c261ea4-f065-48c2-b780-24e5fac4a73b.tif:cell body:1,205.301,636.255,211.972,519.955,175.000,1272.000,130623.950,614.500,2527204.000,0.000
2,SUM_4c261ea4-f065-48c2-b780-24e5fac4a73b.tif:nucleus:1,93.967,686.912,192.233,571.713,355.000,1272.000,64547.212,653.500,1248806.000,0.000
3,SUM_4c261ea4-f065-48c2-b780-24e5fac4a73b.tif:cytoplasm:1,111.334,593.500,218.383,408.062,175.000,1231.000,66076.738,573.000,1278398.000,0.000
4,SUM_4c261ea4-f065-48c2-b780-24e5fac4a73b.tif:dendrite 1:1,5.892,254.173,27.079,256.539,200.302,343.553,1497.671,254.760,28975.700,25.866
5,SUM_4c261ea4-f065-48c2-b780-24e5fac4a73b.tif:dendrite 1 background:1,5.892,150.329,11.377,145.848,141.481,247.960,885.787,147.876,17137.473,25.866
6,SUM_4c261ea4-f065-48c2-b780-24e5fac4a73b.tif:dendrite 2:1,6.616,356.066,98.140,291.408,209.872,640.250,2355.714,330.719,45576.401,28.940
7,SUM_4c261ea4-f065-48c2-b780-24e5fac4a73b.tif:dendrite 2 background:1,6.616,169.788,37.403,149.133,142.241,310.275,1123.311,153.283,21732.894,28.940
8,SUM_4c261ea4-f065-48c2-b780-24e5fac4a73b.tif:dendrite 3:1,4.859,257.615,45.788,228.511,176.277,404.858,1251.644,246.863,24215.780,21.359
9,SUM_4c261ea4-f065-48c2-b780-24e5fac4a73b.tif:dendrite 3 background:1,4.859,160.853,23.283,143.904,142.216,238.230,781.518,149.015,15120.168,21.359
10,SUM_4c261ea4-f065-48c2-b780-24e5fac4a73b.tif:AIS:1,6.461,244.557,82.877,200.783,171.146,541.249,1580.053,213.576,30569.566,28.213
11,SUM_4c261ea4-f065-48c2-b780-24e5fac4a73b.tif:AIS background:1,6.461,188.533,67.240,150.169,142.000,463.740,1218.093,165.413,23566.659,28.213
