 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_1b84ad11-402d-4c14-8716-79cdbf42d428.tif:cell body:1,236.159,515.606,143.739,482.826,188.000,939.000,121764.723,510.000,2355803.000,0.000
2,SUM_1b84ad11-402d-4c14-8716-79cdbf42d428.tif:nucleus:1,69.054,529.395,75.560,494.359,339.000,827.000,36556.868,526.000,707272.000,0.000
3,SUM_1b84ad11-402d-4c14-8716-79cdbf42d428.tif:cytoplasm:1,167.105,509.908,163.499,450.557,188.000,939.000,85207.855,492.000,1648531.000,0.000
4,SUM_1b84ad11-402d-4c14-8716-79cdbf42d428.tif:dendrite 1:1,7.443,306.173,61.375,264.138,217.927,466.983,2278.832,286.427,44088.956,32.548
5,SUM_1b84ad11-402d-4c14-8716-79cdbf42d428.tif:dendrite 1 background:1,7.443,164.580,38.641,137.739,0.000,278.744,1224.957,159.181,23699.462,32.548
6,SUM_1b84ad11-402d-4c14-8716-79cdbf42d428.tif:dendrite 2:1,6.513,235.193,27.974,244.772,168.636,311.426,1531.710,234.870,29634.259,28.648
7,SUM_1b84ad11-402d-4c14-8716-79cdbf42d428.tif:dendrite 2 background:1,6.513,159.149,21.576,138.064,131.726,224.438,1036.472,157.133,20052.809,28.648
8,SUM_1b84ad11-402d-4c14-8716-79cdbf42d428.tif:dendrite 3:1,7.856,246.895,21.437,226.120,202.602,302.118,1939.714,246.100,37527.972,34.407
9,SUM_1b84ad11-402d-4c14-8716-79cdbf42d428.tif:dendrite 3 background:1,7.856,150.121,17.164,144.227,128.189,214.627,1179.414,144.955,22818.331,34.407
10,SUM_1b84ad11-402d-4c14-8716-79cdbf42d428.tif:AIS:1,9.821,238.254,71.472,186.469,156.075,487.184,2339.791,212.724,45268.332,43.048
11,SUM_1b84ad11-402d-4c14-8716-79cdbf42d428.tif:AIS background:1,9.821,206.497,102.622,136.741,130.162,504.382,2027.911,160.553,39234.344,43.048
