 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_32491892-b147-450a-8227-11828b1d8b2a.tif:cell body:3,126.272,4215.051,1697.199,7090.068,714.000,7501.000,0.000,0.000,532241.567,4195.000,10297369.000,0,0.000
2,SUM_32491892-b147-450a-8227-11828b1d8b2a.tif:nucleus:3,33.648,3839.796,1347.783,4734.172,1433.000,6833.000,0.000,0.000,129202.709,3747.000,2499707.000,0,0.000
3,SUM_32491892-b147-450a-8227-11828b1d8b2a.tif:cytoplasm:3,92.623,4351.374,1788.422,7090.068,714.000,7501.000,0.000,0.000,403038.858,4380.500,7797662.000,0,0.000
4,SUM_32491892-b147-450a-8227-11828b1d8b2a.tif:dendrite 1:3,9.924,1015.203,365.166,496.391,253.554,1827.384,0.000,0.000,10074.800,977.209,194918.887,0,43.604
5,SUM_32491892-b147-450a-8227-11828b1d8b2a.tif:dendrite 1 background:3,9.924,209.341,28.019,191.227,171.968,282.759,0.000,0.000,2077.487,200.545,40193.501,0,43.604
6,SUM_32491892-b147-450a-8227-11828b1d8b2a.tif:dendrite 2:3,9.252,2110.160,440.682,1698.102,1316.000,2960.000,0.000,0.000,19523.197,2148.771,377718.648,0,40.484
7,SUM_32491892-b147-450a-8227-11828b1d8b2a.tif:dendrite 2 background:3,9.252,301.268,101.997,181.215,178.102,496.869,0.000,0.000,2787.334,258.435,53927.024,0,40.484
8,SUM_32491892-b147-450a-8227-11828b1d8b2a.tif:dendrite 3:3,0.000,180.000,0.000,180.000,180.000,180.000,78.662,91.849,9.304,180.000,180.000,3,0.000
9,SUM_32491892-b147-450a-8227-11828b1d8b2a.tif:dendrite 3 background:3,0.000,191.000,0.000,191.000,191.000,191.000,80.936,94.122,9.872,191.000,191.000,3,0.000
10,SUM_32491892-b147-450a-8227-11828b1d8b2a.tif:AIS:3,10.182,524.986,198.023,326.003,255.805,1282.706,0.000,0.000,5345.602,492.018,103422.274,0,44.763
11,SUM_32491892-b147-450a-8227-11828b1d8b2a.tif:AIS background:3,10.182,180.726,19.971,168.777,163.961,309.000,0.000,0.000,1840.221,172.220,35603.077,0,44.763
