 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_b1145254-fbca-40df-a3a4-9c5849cba008.tif:cell body:3,132.836,1432.700,423.401,1228.615,373.000,3028.000,190314.122,1389.500,3682040.000,0.000
2,SUM_b1145254-fbca-40df-a3a4-9c5849cba008.tif:nucleus:3,62.438,1560.380,386.204,1424.525,791.000,3028.000,97427.109,1491.000,1884939.000,0.000
3,SUM_b1145254-fbca-40df-a3a4-9c5849cba008.tif:cytoplasm:3,70.398,1319.457,422.852,1226.746,373.000,2815.000,92887.013,1275.000,1797101.000,0.000
4,SUM_b1145254-fbca-40df-a3a4-9c5849cba008.tif:dendrite 1:3,6.513,1008.437,289.735,468.707,220.885,1429.313,6567.528,1075.637,127063.097,28.509
5,SUM_b1145254-fbca-40df-a3a4-9c5849cba008.tif:dendrite 1 background:3,6.513,134.467,8.692,135.316,117.840,161.066,875.727,133.501,16942.844,28.509
6,SUM_b1145254-fbca-40df-a3a4-9c5849cba008.tif:dendrite 2:3,8.218,1032.946,165.778,1083.827,609.904,1370.558,8489.015,1068.926,164238.422,36.033
7,SUM_b1145254-fbca-40df-a3a4-9c5849cba008.tif:dendrite 2 background:3,8.218,129.223,18.299,119.250,114.313,247.356,1061.992,123.188,20546.536,36.033
8,SUM_b1145254-fbca-40df-a3a4-9c5849cba008.tif:dendrite 3:3,6.047,951.143,350.382,1305.362,412.426,1587.704,5751.937,928.350,111283.705,26.573
9,SUM_b1145254-fbca-40df-a3a4-9c5849cba008.tif:dendrite 3 background:3,6.047,138.751,12.776,126.947,116.379,180.035,839.083,136.770,16233.890,26.573
10,SUM_b1145254-fbca-40df-a3a4-9c5849cba008.tif:AIS:3,6.668,302.892,85.703,300.319,154.365,571.843,2019.576,291.557,39073.087,29.156
11,SUM_b1145254-fbca-40df-a3a4-9c5849cba008.tif:AIS background:3,6.668,123.184,8.661,119.275,110.142,145.301,821.346,120.894,15890.721,29.156
