 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_eb6eb870-26e4-439d-8637-3d773c44420a.tif:cell body:3,312.500,3350.486,1609.141,1983.334,470.000,6571.000,0.000,0.000,1047028.438,3301.000,20257039.000,0,0.000
2,SUM_eb6eb870-26e4-439d-8637-3d773c44420a.tif:nucleus:3,77.014,5355.940,615.455,5838.119,4086.000,6571.000,0.000,0.000,412481.530,5339.500,7980351.000,0,0.000
3,SUM_eb6eb870-26e4-439d-8637-3d773c44420a.tif:cytoplasm:3,235.487,2694.620,1251.665,1985.732,470.000,6305.000,0.000,0.000,634546.908,2314.000,12276688.000,0,0.000
4,SUM_eb6eb870-26e4-439d-8637-3d773c44420a.tif:dendrite 1:3,8.994,1971.211,157.685,1840.654,1624.363,2257.169,0.000,0.000,17728.209,1943.642,342990.695,0,39.399
5,SUM_eb6eb870-26e4-439d-8637-3d773c44420a.tif:dendrite 1 background:3,8.994,212.125,21.047,202.889,180.228,320.021,0.000,0.000,1907.757,210.014,36909.702,0,39.399
6,SUM_eb6eb870-26e4-439d-8637-3d773c44420a.tif:dendrite 2:3,7.133,1772.838,121.472,1815.429,1429.608,2033.707,0.000,0.000,12645.343,1785.256,244651.617,0,31.335
7,SUM_eb6eb870-26e4-439d-8637-3d773c44420a.tif:dendrite 2 background:3,7.133,223.755,98.275,185.670,175.216,769.918,0.000,0.000,1596.007,193.182,30878.214,0,31.335
8,SUM_eb6eb870-26e4-439d-8637-3d773c44420a.tif:dendrite 3:3,0.000,165.000,0.000,165.000,165.000,165.000,83.437,90.257,8.528,165.000,165.000,3,0.000
9,SUM_eb6eb870-26e4-439d-8637-3d773c44420a.tif:dendrite 3 background:3,0.000,179.000,0.000,179.000,179.000,179.000,85.710,92.531,9.252,179.000,179.000,3,0.000
10,SUM_eb6eb870-26e4-439d-8637-3d773c44420a.tif:AIS:3,9.355,744.932,131.281,734.908,473.980,1196.116,0.000,0.000,6969.113,740.695,134832.635,0,40.982
11,SUM_eb6eb870-26e4-439d-8637-3d773c44420a.tif:AIS background:3,9.355,259.510,280.394,173.900,162.447,2117.037,0.000,0.000,2427.817,180.483,46971.389,0,40.982
