 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_294ef826-35dd-48ab-94a7-77a428508a73.tif:cell body:1,182.766,2006.322,951.643,880.271,312.000,3735.000,366686.981,1945.500,7094356.000,0.000
2,SUM_294ef826-35dd-48ab-94a7-77a428508a73.tif:nucleus:1,54.633,3114.877,348.912,3375.854,2048.000,3735.000,170176.036,3201.000,3292425.000,0.000
3,SUM_294ef826-35dd-48ab-94a7-77a428508a73.tif:cytoplasm:1,128.132,1533.655,701.677,877.266,312.000,3424.000,196510.945,1441.000,3801931.000,0.000
4,SUM_294ef826-35dd-48ab-94a7-77a428508a73.tif:dendrite 1:1,6.719,710.290,103.092,759.500,451.615,925.000,4772.670,723.567,92337.660,29.363
5,SUM_294ef826-35dd-48ab-94a7-77a428508a73.tif:dendrite 1 background:1,6.719,361.935,130.006,177.941,172.612,718.267,2431.959,350.811,47051.536,29.363
6,SUM_294ef826-35dd-48ab-94a7-77a428508a73.tif:dendrite 2:1,6.978,643.060,165.690,494.726,415.912,1274.480,4487.119,611.468,86813.069,30.656
7,SUM_294ef826-35dd-48ab-94a7-77a428508a73.tif:dendrite 2 background:1,6.978,330.610,153.315,195.798,170.273,939.000,2306.922,267.229,44632.410,30.656
8,SUM_294ef826-35dd-48ab-94a7-77a428508a73.tif:dendrite 3:1,6.719,818.704,146.875,723.684,527.282,1211.349,5501.143,816.444,106431.567,29.504
9,SUM_294ef826-35dd-48ab-94a7-77a428508a73.tif:dendrite 3 background:1,6.719,395.277,181.551,239.189,181.070,906.852,2655.999,353.298,51386.069,29.504
10,SUM_294ef826-35dd-48ab-94a7-77a428508a73.tif:AIS:1,7.236,335.475,62.526,286.547,205.883,511.810,2427.563,331.318,46966.475,31.717
11,SUM_294ef826-35dd-48ab-94a7-77a428508a73.tif:AIS background:1,7.236,204.217,50.957,172.497,155.231,440.406,1477.754,187.433,28590.365,31.717
