 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_d94f23e6-360a-47d4-94e2-e2d7457922d1.tif:cell body:3,209.591,5973.205,2314.458,8308.494,1153.000,9614.000,1251932.083,6135.000,24221345.000,0.000
2,SUM_d94f23e6-360a-47d4-94e2-e2d7457922d1.tif:nucleus:3,51.532,8820.721,439.185,8770.760,7745.000,9614.000,454550.108,8839.000,8794259.000,0.000
3,SUM_d94f23e6-360a-47d4-94e2-e2d7457922d1.tif:cytoplasm:3,158.059,5044.829,1879.974,3240.744,1153.000,8628.000,797381.975,4968.500,15427086.000,0.000
4,SUM_d94f23e6-360a-47d4-94e2-e2d7457922d1.tif:dendrite 1:3,9.459,2350.724,484.507,2614.930,1167.037,3341.000,22234.899,2503.997,430182.418,41.459
5,SUM_d94f23e6-360a-47d4-94e2-e2d7457922d1.tif:dendrite 1 background:3,9.459,407.973,323.698,240.423,207.403,2085.880,3858.915,301.067,74659.082,41.459
6,SUM_d94f23e6-360a-47d4-94e2-e2d7457922d1.tif:dendrite 2:3,7.598,1854.882,672.542,2275.697,414.083,2942.323,14093.409,2174.402,272667.598,33.219
7,SUM_d94f23e6-360a-47d4-94e2-e2d7457922d1.tif:dendrite 2 background:3,7.598,253.774,73.596,198.315,197.207,764.399,1928.174,236.656,37304.708,33.219
8,SUM_d94f23e6-360a-47d4-94e2-e2d7457922d1.tif:dendrite 3:3,4.652,866.534,312.152,609.000,370.073,1472.149,4030.978,904.379,77988.030,20.356
9,SUM_d94f23e6-360a-47d4-94e2-e2d7457922d1.tif:dendrite 3 background:3,4.652,245.137,68.504,197.560,195.203,597.556,1140.339,217.897,22062.329,20.356
10,SUM_d94f23e6-360a-47d4-94e2-e2d7457922d1.tif:AIS:3,8.735,1730.966,229.682,1828.521,1002.463,2242.761,15120.211,1755.593,292533.324,38.383
11,SUM_d94f23e6-360a-47d4-94e2-e2d7457922d1.tif:AIS background:3,8.735,241.846,75.223,210.909,200.243,807.000,2112.559,220.526,40872.037,38.383
