 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_2172ee28-140b-4ccd-9497-b9c0ebb6a9ca.tif:cell body:1,299.113,145.251,21.732,160.201,102.000,231.000,43446.660,145.000,840570.000,0.000
2,SUM_2172ee28-140b-4ccd-9497-b9c0ebb6a9ca.tif:nucleus:1,63.058,146.703,12.494,144.977,119.000,195.000,9250.861,146.000,178978.000,0.000
3,SUM_2172ee28-140b-4ccd-9497-b9c0ebb6a9ca.tif:cytoplasm:1,236.055,144.864,23.581,116.865,102.000,231.000,34195.799,144.000,661592.000,0.000
4,SUM_2172ee28-140b-4ccd-9497-b9c0ebb6a9ca.tif:dendrite 1:1,10.234,116.911,5.327,113.324,109.006,130.895,1196.471,115.381,23148.324,44.918
5,SUM_2172ee28-140b-4ccd-9497-b9c0ebb6a9ca.tif:dendrite 1 background:1,10.234,103.626,2.914,102.038,102.000,121.684,1060.513,102.431,20517.921,44.918
6,SUM_2172ee28-140b-4ccd-9497-b9c0ebb6a9ca.tif:dendrite 2:1,7.029,124.305,10.489,118.244,107.935,143.839,873.799,121.387,16905.537,30.867
7,SUM_2172ee28-140b-4ccd-9497-b9c0ebb6a9ca.tif:dendrite 2 background:1,7.029,107.347,7.301,102.062,102.000,133.623,754.593,103.836,14599.246,30.867
8,SUM_2172ee28-140b-4ccd-9497-b9c0ebb6a9ca.tif:dendrite 3:1,8.942,109.421,5.919,105.576,103.659,140.000,978.427,107.623,18929.793,39.336
9,SUM_2172ee28-140b-4ccd-9497-b9c0ebb6a9ca.tif:dendrite 3 background:1,8.942,104.077,4.296,102.043,102.000,123.823,930.641,102.238,18005.278,39.336
10,SUM_2172ee28-140b-4ccd-9497-b9c0ebb6a9ca.tif:AIS:1,9.304,105.896,3.495,103.892,102.050,121.298,985.222,104.983,19061.255,40.868
11,SUM_2172ee28-140b-4ccd-9497-b9c0ebb6a9ca.tif:AIS background:1,9.304,103.664,2.848,102.033,102.000,118.666,964.456,102.486,18659.495,40.868
