 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_d40d49e8-94cb-4fd8-9150-8b58931cbf95.tif:cell body:1,191.036,140.789,18.659,134.266,100.000,236.000,0.000,0.000,26895.714,138.000,520356.000,0,0.000
2,SUM_d40d49e8-94cb-4fd8-9150-8b58931cbf95.tif:nucleus:1,42.487,140.954,11.371,134.104,114.000,187.000,0.000,0.000,5988.679,140.000,115864.000,0,0.000
3,SUM_d40d49e8-94cb-4fd8-9150-8b58931cbf95.tif:cytoplasm:1,148.549,140.742,20.269,128.953,100.000,236.000,0.000,0.000,20907.035,137.000,404492.000,0,0.000
4,SUM_d40d49e8-94cb-4fd8-9150-8b58931cbf95.tif:dendrite 1:1,8.787,111.405,4.581,107.833,103.595,129.741,0.000,0.000,978.892,110.463,18938.791,0,38.647
5,SUM_d40d49e8-94cb-4fd8-9150-8b58931cbf95.tif:dendrite 1 background:1,8.787,97.823,2.863,96.025,96.000,108.640,0.000,0.000,859.549,96.628,16629.848,0,38.647
6,SUM_d40d49e8-94cb-4fd8-9150-8b58931cbf95.tif:dendrite 2:1,8.012,116.869,9.537,118.955,98.586,142.220,0.000,0.000,936.296,117.506,18114.682,0,35.097
7,SUM_d40d49e8-94cb-4fd8-9150-8b58931cbf95.tif:dendrite 2 background:1,8.012,105.060,8.051,96.062,96.000,127.751,0.000,0.000,841.689,103.815,16284.306,0,35.097
8,SUM_d40d49e8-94cb-4fd8-9150-8b58931cbf95.tif:dendrite 3:1,0.000,97.000,0.000,97.000,97.000,97.000,13.868,66.840,5.014,97.000,97.000,3,0.000
9,SUM_d40d49e8-94cb-4fd8-9150-8b58931cbf95.tif:dendrite 3 background:1,0.000,96.000,0.000,96.000,96.000,96.000,16.142,69.114,4.962,96.000,96.000,3,0.000
10,SUM_d40d49e8-94cb-4fd8-9150-8b58931cbf95.tif:AIS:1,7.288,107.011,5.326,104.202,98.458,120.907,0.000,0.000,779.885,106.280,15088.565,0,32.040
11,SUM_d40d49e8-94cb-4fd8-9150-8b58931cbf95.tif:AIS background:1,7.288,97.493,2.087,96.021,96.000,106.743,0.000,0.000,710.521,96.700,13746.572,0,32.040
