 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_fbbfe523-32ba-4243-be44-0c628a6edc9a.tif:cell body:1,108.181,302.345,64.696,331.504,169.000,463.000,0.000,0.000,32708.037,315.000,632808.000,0,0.000
2,SUM_fbbfe523-32ba-4243-be44-0c628a6edc9a.tif:nucleus:1,38.042,339.177,29.249,332.363,245.000,455.000,0.000,0.000,12902.868,337.000,249634.000,0,0.000
3,SUM_fbbfe523-32ba-4243-be44-0c628a6edc9a.tif:cytoplasm:1,70.139,282.368,69.700,207.473,169.000,463.000,0.000,0.000,19805.169,271.000,383174.000,0,0.000
4,SUM_fbbfe523-32ba-4243-be44-0c628a6edc9a.tif:dendrite 1:1,10.596,215.127,23.970,194.634,174.680,322.742,0.000,0.000,2279.457,211.085,44101.041,0,46.470
5,SUM_fbbfe523-32ba-4243-be44-0c628a6edc9a.tif:dendrite 1 background:1,10.596,176.292,17.885,159.162,159.000,242.076,0.000,0.000,1867.963,171.313,36139.807,0,46.470
6,SUM_fbbfe523-32ba-4243-be44-0c628a6edc9a.tif:dendrite 2:1,10.286,195.753,15.017,187.064,167.818,237.705,0.000,0.000,2013.466,194.648,38954.865,0,45.052
7,SUM_fbbfe523-32ba-4243-be44-0c628a6edc9a.tif:dendrite 2 background:1,10.286,161.607,4.170,159.035,159.000,176.741,0.000,0.000,1662.249,159.326,32159.825,0,45.052
8,SUM_fbbfe523-32ba-4243-be44-0c628a6edc9a.tif:dendrite 3:1,0.000,164.000,0.000,164.000,164.000,164.000,90.030,19.779,8.477,164.000,164.000,3,0.000
9,SUM_fbbfe523-32ba-4243-be44-0c628a6edc9a.tif:dendrite 3 background:1,0.000,165.000,0.000,165.000,165.000,165.000,92.303,22.053,8.528,165.000,165.000,3,0.000
10,SUM_fbbfe523-32ba-4243-be44-0c628a6edc9a.tif:AIS:1,0.000,164.000,0.000,164.000,164.000,164.000,90.030,19.779,8.477,164.000,164.000,3,0.000
11,SUM_fbbfe523-32ba-4243-be44-0c628a6edc9a.tif:AIS background:1,0.000,165.000,0.000,165.000,165.000,165.000,92.303,22.053,8.528,165.000,165.000,3,0.000
