 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BCAP31-biotin_Mut2_5_soma.tif:cell body:1,176.098,70.016,18.308,81.000,16.000,239.000,12329.657,72.000,238544.000,0.000
2,MAX_BCAP31-biotin_Mut2_5_soma.tif:nucleus:1,73.447,80.313,13.508,83.000,50.000,239.000,5898.795,79.000,114125.000,0.000
3,MAX_BCAP31-biotin_Mut2_5_soma.tif:cytoplasm:1,102.651,62.648,17.730,62.000,16.000,126.000,6430.862,63.000,124419.000,0.000
4,MAX_BCAP31-biotin_Mut2_5_soma.tif:dendrite 1:1,6.823,35.566,10.995,23.128,18.704,63.120,242.654,33.529,4694.672,29.922
5,MAX_BCAP31-biotin_Mut2_5_soma.tif:dendrite 1 background:1,6.823,12.235,6.176,7.736,5.000,31.429,83.478,10.377,1615.071,29.922
6,MAX_BCAP31-biotin_Mut2_5_soma.tif:dendrite 2:1,7.133,35.613,9.735,29.308,14.141,61.781,254.022,36.022,4914.612,31.344
7,MAX_BCAP31-biotin_Mut2_5_soma.tif:dendrite 2 background:1,7.133,13.022,8.429,5.793,3.910,39.623,92.880,11.661,1796.974,31.344
8,MAX_BCAP31-biotin_Mut2_5_soma.tif:dendrite 3:1,7.598,25.541,7.034,22.467,10.178,51.302,194.059,24.109,3754.488,33.349
9,MAX_BCAP31-biotin_Mut2_5_soma.tif:dendrite 3 background:1,7.598,13.661,12.401,4.988,4.072,71.042,103.794,8.024,2008.128,33.349
10,MAX_BCAP31-biotin_Mut2_5_soma.tif:AIS:1,7.598,16.948,7.474,10.831,6.231,58.574,128.769,15.708,2491.312,33.411
11,MAX_BCAP31-biotin_Mut2_5_soma.tif:AIS background:1,7.598,13.047,8.745,7.934,4.006,46.803,99.129,10.482,1917.873,33.411
