 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BCAP31-biotin_WT_3_soma.tif:cell body:1,346.200,59.056,26.586,55.000,7.000,171.000,20445.211,58.000,395557.000,0.000
2,MAX_BCAP31-biotin_WT_3_soma.tif:nucleus:1,77.531,71.188,17.371,65.000,32.000,136.000,5519.256,69.000,106782.000,0.000
3,MAX_BCAP31-biotin_WT_3_soma.tif:cytoplasm:1,268.670,55.555,27.732,37.000,7.000,171.000,14925.954,52.000,288775.000,0.000
4,MAX_BCAP31-biotin_WT_3_soma.tif:dendrite 1:1,6.823,65.967,13.758,63.139,37.978,130.657,450.076,64.437,8707.697,29.895
5,MAX_BCAP31-biotin_WT_3_soma.tif:dendrite 1 background:1,6.823,13.701,7.248,6.862,4.394,38.549,93.476,11.953,1808.503,29.895
6,MAX_BCAP31-biotin_WT_3_soma.tif:dendrite 2:1,5.996,43.804,14.125,43.558,27.552,146.321,262.635,41.490,5081.253,26.320
7,MAX_BCAP31-biotin_WT_3_soma.tif:dendrite 2 background:1,5.996,14.916,8.279,6.071,4.000,50.109,89.434,13.159,1730.302,26.320
8,MAX_BCAP31-biotin_WT_3_soma.tif:dendrite 3:1,6.202,28.952,9.664,25.335,11.887,64.445,179.571,27.233,3474.188,27.063
9,MAX_BCAP31-biotin_WT_3_soma.tif:dendrite 3 background:1,6.202,12.887,6.134,7.631,4.115,39.413,79.933,11.327,1546.468,27.063
10,MAX_BCAP31-biotin_WT_3_soma.tif:AIS:1,9.459,19.394,8.727,14.643,6.832,49.836,183.444,16.886,3549.124,41.571
11,MAX_BCAP31-biotin_WT_3_soma.tif:AIS background:1,9.459,14.392,9.077,5.120,5.000,66.392,136.131,11.847,2633.758,41.571
