 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_ERGIC53_GFP_3_soma.tif:cell body:1,313.741,55.347,34.207,32.000,9.000,255.000,17364.554,49.000,335955.000,0.000
2,MAX_ERGIC53_GFP_3_soma.tif:nucleus:1,207.524,61.655,32.797,52.000,15.000,255.000,12794.790,55.000,247543.000,0.000
3,MAX_ERGIC53_GFP_3_soma.tif:cytoplasm:1,221.583,48.879,29.170,32.000,9.000,255.000,10830.782,40.000,209545.000,0.000
4,MAX_ERGIC53_GFP_3_soma.tif:dendrite 1:1,8.115,23.176,6.553,23.002,10.685,46.313,188.069,22.912,3638.609,35.539
5,MAX_ERGIC53_GFP_3_soma.tif:dendrite 1 background:1,8.115,19.646,7.385,11.021,10.011,57.000,159.423,18.514,3084.384,35.539
6,MAX_ERGIC53_GFP_3_soma.tif:dendrite 2:1,7.856,25.726,9.133,18.125,11.530,48.635,202.114,24.022,3910.343,34.395
7,MAX_ERGIC53_GFP_3_soma.tif:dendrite 2 background:1,7.856,28.052,16.946,13.383,7.963,87.251,220.388,21.839,4263.889,34.395
8,MAX_ERGIC53_GFP_3_soma.tif:dendrite 3:1,7.546,25.644,6.140,21.984,15.663,53.737,193.520,24.904,3744.072,33.166
9,MAX_ERGIC53_GFP_3_soma.tif:dendrite 3 background:1,7.546,18.314,6.679,12.452,8.026,50.790,138.205,17.752,2673.882,33.166
10,MAX_ERGIC53_GFP_3_soma.tif:AIS:1,9.355,26.526,16.044,21.967,10.661,115.905,248.158,21.997,4801.155,41.027
11,MAX_ERGIC53_GFP_3_soma.tif:AIS background:1,9.355,20.738,7.984,16.077,8.124,61.006,194.012,19.102,3753.589,41.027
