 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SLC38A1_Mut2_5_soma.tif:cell body:1,221.738,99.562,25.389,98.000,37.000,208.000,22076.715,98.000,427122.000,0.000
2,MAX_SLC38A1_Mut2_5_soma.tif:nucleus:1,80.684,100.826,19.240,98.000,46.000,188.000,8134.987,99.000,157389.000,0.000
3,MAX_SLC38A1_Mut2_5_soma.tif:cytoplasm:1,141.054,98.840,28.290,88.000,37.000,208.000,13941.728,96.000,269733.000,0.000
4,MAX_SLC38A1_Mut2_5_soma.tif:dendrite 1:1,7.340,69.227,12.828,63.754,40.495,118.329,508.098,68.575,9830.250,32.193
5,MAX_SLC38A1_Mut2_5_soma.tif:dendrite 1 background:1,7.340,53.419,9.878,49.786,35.921,101.049,392.076,51.546,7585.561,32.193
6,MAX_SLC38A1_Mut2_5_soma.tif:dendrite 2:1,5.996,79.059,15.862,60.627,51.656,118.221,474.015,79.788,9170.847,26.356
7,MAX_SLC38A1_Mut2_5_soma.tif:dendrite 2 background:1,5.996,53.733,12.161,51.482,22.210,84.397,322.169,53.027,6233.066,26.356
8,MAX_SLC38A1_Mut2_5_soma.tif:dendrite 3:1,6.513,64.033,11.864,63.797,40.614,104.088,417.019,63.871,8068.129,28.528
9,MAX_SLC38A1_Mut2_5_soma.tif:dendrite 3 background:1,6.513,48.904,9.950,33.241,30.125,85.144,318.492,48.902,6161.926,28.528
10,MAX_SLC38A1_Mut2_5_soma.tif:AIS:1,8.580,60.903,15.128,62.166,31.653,110.956,522.550,61.230,10109.867,37.693
11,MAX_SLC38A1_Mut2_5_soma.tif:AIS background:1,8.580,58.299,13.324,57.113,24.730,90.264,500.205,59.253,9677.561,37.693
