 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SURF4_GFP_5_soma.tif:cell body:1,427.918,15.084,7.299,15.000,4.000,253.000,6454.639,15.000,124879.000,0.000
2,MAX_SURF4_GFP_5_soma.tif:nucleus:1,105.959,17.925,2.648,18.000,8.000,29.000,1899.347,18.000,36747.000,0.000
3,MAX_SURF4_GFP_5_soma.tif:cytoplasm:1,321.959,14.149,8.061,14.000,4.000,253.000,4555.291,14.000,88132.000,0.000
4,MAX_SURF4_GFP_5_soma.tif:dendrite 1:1,9.252,9.517,1.381,8.948,6.854,14.147,88.047,9.265,1703.457,40.590
5,MAX_SURF4_GFP_5_soma.tif:dendrite 1 background:1,9.252,5.574,0.992,4.010,4.000,8.960,51.573,5.480,997.793,40.590
6,MAX_SURF4_GFP_5_soma.tif:dendrite 2:1,10.648,7.271,1.245,6.352,4.681,11.212,77.421,7.184,1497.879,46.655
7,MAX_SURF4_GFP_5_soma.tif:dendrite 2 background:1,10.648,6.732,1.840,6.011,3.521,16.396,71.674,6.397,1386.689,46.655
8,MAX_SURF4_GFP_5_soma.tif:dendrite 3:1,5.996,8.970,2.043,7.320,5.443,13.386,53.784,8.817,1040.559,26.325
9,MAX_SURF4_GFP_5_soma.tif:dendrite 3 background:1,5.996,7.739,1.858,6.014,4.217,12.817,46.402,7.215,897.743,26.325
10,MAX_SURF4_GFP_5_soma.tif:AIS:1,8.890,7.317,1.561,5.989,4.458,14.640,65.048,7.143,1258.500,38.937
11,MAX_SURF4_GFP_5_soma.tif:AIS background:1,8.890,5.822,1.038,5.002,4.000,8.538,51.757,5.751,1001.353,38.937
