 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SURF4_WT_5_soma.tif:cell body:1,393.546,15.723,8.679,6.000,3.000,63.000,6187.778,14.000,119716.000,0.000
2,MAX_SURF4_WT_5_soma.tif:nucleus:1,142.605,21.379,8.979,15.000,8.000,52.000,3048.714,18.000,58984.000,0.000
3,MAX_SURF4_WT_5_soma.tif:cytoplasm:1,276.475,12.733,6.462,6.000,3.000,63.000,3520.308,12.000,68108.000,0.000
4,MAX_SURF4_WT_5_soma.tif:dendrite 1:1,7.185,12.104,3.362,11.806,6.000,20.089,86.958,11.548,1682.387,31.603
5,MAX_SURF4_WT_5_soma.tif:dendrite 1 background:1,7.185,8.068,5.826,3.048,3.000,27.337,57.966,5.640,1121.472,31.603
6,MAX_SURF4_WT_5_soma.tif:dendrite 2:1,8.632,8.330,1.449,8.576,4.377,12.808,71.905,8.285,1391.151,37.930
7,MAX_SURF4_WT_5_soma.tif:dendrite 2 background:1,8.632,3.487,1.034,3.018,3.000,12.063,30.096,3.000,582.274,37.930
8,MAX_SURF4_WT_5_soma.tif:dendrite 3:1,4.652,11.798,3.070,10.375,6.525,22.814,54.881,11.311,1061.798,20.345
9,MAX_SURF4_WT_5_soma.tif:dendrite 3 background:1,4.652,6.861,2.470,3.021,3.000,13.603,31.917,6.869,617.495,20.345
10,MAX_SURF4_WT_5_soma.tif:AIS:1,7.546,7.078,1.761,4.999,3.814,11.305,53.411,6.812,1033.347,33.069
11,MAX_SURF4_WT_5_soma.tif:AIS background:1,7.546,3.190,0.411,3.004,3.000,5.182,24.073,3.000,465.743,33.179
