 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_ddb4efdb-a3ad-4143-91fe-242323241cd5.tif:cell body:1,361.396,924.612,457.450,660.139,175.000,2684.000,334151.580,820.000,6464888.000,0.000
2,SUM_ddb4efdb-a3ad-4143-91fe-242323241cd5.tif:nucleus:1,166.174,1141.669,501.851,743.551,290.000,2684.000,189715.947,1068.000,3670467.000,0.000
3,SUM_ddb4efdb-a3ad-4143-91fe-242323241cd5.tif:cytoplasm:1,228.457,722.299,301.689,569.365,175.000,2098.000,165014.403,672.000,3192562.000,0.000
4,SUM_ddb4efdb-a3ad-4143-91fe-242323241cd5.tif:dendrite 1:1,6.564,650.493,197.776,550.489,409.990,1276.684,4270.011,587.531,82612.642,28.696
5,SUM_ddb4efdb-a3ad-4143-91fe-242323241cd5.tif:dendrite 1 background:1,6.564,420.659,175.404,238.318,181.420,891.948,2761.315,382.700,53423.643,28.696
6,SUM_ddb4efdb-a3ad-4143-91fe-242323241cd5.tif:dendrite 2:1,4.342,405.969,237.433,250.282,199.262,1100.026,1762.606,296.221,34101.437,18.999
7,SUM_ddb4efdb-a3ad-4143-91fe-242323241cd5.tif:dendrite 2 background:1,4.342,594.371,384.013,273.913,168.927,1363.438,2580.592,435.490,49927.156,18.999
8,SUM_ddb4efdb-a3ad-4143-91fe-242323241cd5.tif:dendrite 3:1,5.996,412.012,115.758,363.652,253.718,760.800,2470.305,377.927,47793.408,26.226
9,SUM_ddb4efdb-a3ad-4143-91fe-242323241cd5.tif:dendrite 3 background:1,5.996,393.132,114.006,361.104,234.993,720.470,2357.105,362.706,45603.320,26.226
10,SUM_ddb4efdb-a3ad-4143-91fe-242323241cd5.tif:AIS:1,8.942,745.916,464.678,268.186,235.269,2107.840,6669.885,631.266,129043.407,39.250
11,SUM_ddb4efdb-a3ad-4143-91fe-242323241cd5.tif:AIS background:1,8.942,560.012,279.047,277.345,207.087,1645.963,5007.559,522.436,96882.105,39.250
