 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_75ba742f-d162-40a3-a43c-60198db91eb5.tif:cell body:1,179.716,823.194,330.834,624.592,194.000,2145.000,147941.262,801.000,2862245.000,0.000
2,SUM_75ba742f-d162-40a3-a43c-60198db91eb5.tif:nucleus:1,35.251,1108.585,239.980,890.299,627.000,1820.000,39078.322,1114.500,756055.000,0.000
3,SUM_75ba742f-d162-40a3-a43c-60198db91eb5.tif:cytoplasm:1,144.466,753.556,312.088,624.592,194.000,2145.000,108862.940,713.000,2106190.000,0.000
4,SUM_75ba742f-d162-40a3-a43c-60198db91eb5.tif:dendrite 1:1,7.236,374.502,87.181,300.974,249.265,698.000,2709.971,344.892,52430.267,31.719
5,SUM_75ba742f-d162-40a3-a43c-60198db91eb5.tif:dendrite 1 background:1,7.236,245.916,119.522,148.282,131.004,596.590,1779.498,194.018,34428.258,31.719
6,SUM_75ba742f-d162-40a3-a43c-60198db91eb5.tif:dendrite 2:1,5.996,392.347,177.894,277.239,208.807,954.279,2352.396,322.457,45512.214,26.260
7,SUM_75ba742f-d162-40a3-a43c-60198db91eb5.tif:dendrite 2 background:1,5.996,285.093,136.694,120.180,116.955,667.235,1709.336,279.785,33070.814,26.260
8,SUM_75ba742f-d162-40a3-a43c-60198db91eb5.tif:dendrite 3:1,7.908,215.438,48.153,165.152,142.102,393.201,1703.713,206.605,32962.021,34.640
9,SUM_75ba742f-d162-40a3-a43c-60198db91eb5.tif:dendrite 3 background:1,7.908,197.855,85.246,135.773,119.210,890.143,1564.663,177.072,30271.811,34.640
10,SUM_75ba742f-d162-40a3-a43c-60198db91eb5.tif:AIS:1,9.562,309.758,97.894,210.410,179.241,662.836,2961.947,291.898,57305.304,41.955
11,SUM_75ba742f-d162-40a3-a43c-60198db91eb5.tif:AIS background:1,9.562,230.384,79.245,169.988,124.081,446.061,2202.957,204.483,42620.991,41.955
