 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_fc7a13df-fc9f-4e98-9bc6-402b5c87224c.tif:cell body:3,253.939,698.935,319.550,464.973,203.000,1781.000,177486.872,607.000,3433869.000,0.000
2,SUM_fc7a13df-fc9f-4e98-9bc6-402b5c87224c.tif:nucleus:3,71.380,587.064,190.057,409.131,330.000,1425.000,41904.626,537.000,810736.000,0.000
3,SUM_fc7a13df-fc9f-4e98-9bc6-402b5c87224c.tif:cytoplasm:3,182.559,742.676,348.027,458.809,203.000,1781.000,135582.246,650.000,2623133.000,0.000
4,SUM_fc7a13df-fc9f-4e98-9bc6-402b5c87224c.tif:dendrite 1:3,10.441,330.356,48.290,305.065,244.761,484.104,3449.184,317.726,66731.962,45.842
5,SUM_fc7a13df-fc9f-4e98-9bc6-402b5c87224c.tif:dendrite 1 background:3,10.441,124.257,7.217,123.044,115.887,178.000,1297.344,122.408,25099.945,45.842
6,SUM_fc7a13df-fc9f-4e98-9bc6-402b5c87224c.tif:dendrite 2:3,7.391,472.832,69.005,410.954,307.152,604.059,3494.823,469.974,67614.946,32.320
7,SUM_fc7a13df-fc9f-4e98-9bc6-402b5c87224c.tif:dendrite 2 background:3,7.391,124.220,6.222,118.369,116.095,145.942,918.145,123.500,17763.518,32.320
8,SUM_fc7a13df-fc9f-4e98-9bc6-402b5c87224c.tif:dendrite 3:3,7.908,350.445,72.662,303.781,233.008,571.663,2771.365,330.200,53618.075,34.656
9,SUM_fc7a13df-fc9f-4e98-9bc6-402b5c87224c.tif:dendrite 3 background:3,7.908,123.654,4.298,118.595,116.097,137.064,977.870,123.400,18919.015,34.656
10,SUM_fc7a13df-fc9f-4e98-9bc6-402b5c87224c.tif:AIS:3,8.425,215.278,36.665,208.305,158.554,353.000,1813.721,206.405,35090.375,36.892
11,SUM_fc7a13df-fc9f-4e98-9bc6-402b5c87224c.tif:AIS background:3,8.425,126.783,5.839,121.862,117.835,155.325,1068.144,125.632,20665.574,36.892
