 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_471b35c7-f237-4687-b9b5-2e1463432ab8.tif:cell body:1,89.832,1387.101,439.272,1758.590,319.000,2185.000,124606.378,1491.000,2410781.000,0.000
2,SUM_471b35c7-f237-4687-b9b5-2e1463432ab8.tif:nucleus:1,34.010,1795.907,150.831,1820.025,1416.000,2185.000,61079.057,1809.000,1181707.000,0.000
3,SUM_471b35c7-f237-4687-b9b5-2e1463432ab8.tif:cytoplasm:1,55.822,1138.031,364.376,708.771,319.000,1996.000,63527.322,1108.000,1229074.000,0.000
4,SUM_471b35c7-f237-4687-b9b5-2e1463432ab8.tif:dendrite 1:1,7.701,469.146,86.988,442.069,258.273,721.838,3613.071,468.350,69902.699,33.877
5,SUM_471b35c7-f237-4687-b9b5-2e1463432ab8.tif:dendrite 1 background:1,7.701,256.976,52.971,234.916,173.216,492.312,1979.072,250.882,38289.443,33.877
6,SUM_471b35c7-f237-4687-b9b5-2e1463432ab8.tif:dendrite 2:1,6.461,419.154,83.696,479.569,249.652,621.000,2708.111,422.700,52394.290,28.301
7,SUM_471b35c7-f237-4687-b9b5-2e1463432ab8.tif:dendrite 2 background:1,6.461,249.701,65.996,185.325,156.058,461.871,1613.291,234.260,31212.615,28.301
8,SUM_471b35c7-f237-4687-b9b5-2e1463432ab8.tif:dendrite 3:1,5.582,401.367,91.555,340.556,238.243,620.608,2240.515,396.407,43347.628,24.479
9,SUM_471b35c7-f237-4687-b9b5-2e1463432ab8.tif:dendrite 3 background:1,5.582,263.824,63.592,255.134,163.675,469.733,1472.723,255.211,28493.016,24.479
10,SUM_471b35c7-f237-4687-b9b5-2e1463432ab8.tif:AIS:1,7.443,402.970,103.809,279.236,229.768,631.798,2999.285,384.262,58027.672,32.527
11,SUM_471b35c7-f237-4687-b9b5-2e1463432ab8.tif:AIS background:1,7.443,282.054,88.813,226.173,165.713,627.734,2099.312,258.193,40615.750,32.527
