 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_a931c4e0-f552-4c4d-a00a-0ef3ea708d1b.tif:cell body:1,352.300,865.995,361.028,771.805,144.000,2116.000,305089.606,837.500,5902621.000,0.000
2,SUM_a931c4e0-f552-4c4d-a00a-0ef3ea708d1b.tif:nucleus:1,123.842,1190.084,247.469,1087.006,571.000,2116.000,147382.886,1165.000,2851442.000,0.000
3,SUM_a931c4e0-f552-4c4d-a00a-0ef3ea708d1b.tif:cytoplasm:1,228.457,690.312,282.843,461.422,144.000,2056.000,157706.720,650.000,3051179.000,0.000
4,SUM_a931c4e0-f552-4c4d-a00a-0ef3ea708d1b.tif:dendrite 1:1,9.717,437.134,85.283,439.512,287.701,678.289,4247.709,435.820,82181.152,42.664
5,SUM_a931c4e0-f552-4c4d-a00a-0ef3ea708d1b.tif:dendrite 1 background:1,9.717,184.556,64.446,122.946,106.290,422.129,1793.366,166.126,34696.565,42.664
6,SUM_a931c4e0-f552-4c4d-a00a-0ef3ea708d1b.tif:dendrite 2:1,8.063,363.681,60.994,353.808,229.235,574.000,2932.428,360.903,56734.180,35.394
7,SUM_a931c4e0-f552-4c4d-a00a-0ef3ea708d1b.tif:dendrite 2 background:1,8.063,185.252,57.735,139.737,108.362,341.175,1493.720,166.534,28899.255,35.394
8,SUM_a931c4e0-f552-4c4d-a00a-0ef3ea708d1b.tif:dendrite 3:1,7.288,300.587,94.743,230.424,175.883,665.795,2190.645,268.807,42382.781,31.995
9,SUM_a931c4e0-f552-4c4d-a00a-0ef3ea708d1b.tif:dendrite 3 background:1,7.288,161.494,78.172,110.148,99.016,537.410,1176.952,127.497,22770.694,31.995
10,SUM_a931c4e0-f552-4c4d-a00a-0ef3ea708d1b.tif:AIS:1,7.856,250.399,66.126,226.585,159.094,459.578,1967.244,230.782,38060.599,34.366
11,SUM_a931c4e0-f552-4c4d-a00a-0ef3ea708d1b.tif:AIS background:1,7.856,153.394,59.883,113.701,91.767,379.727,1205.129,123.803,23315.835,34.366
