 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_c95e125d-6e3c-4de5-a9c1-aca15782f2b2.tif:cell body:1,188.917,249.130,65.095,253.432,131.000,446.000,47064.760,246.000,910570.000,0.000
2,SUM_c95e125d-6e3c-4de5-a9c1-aca15782f2b2.tif:nucleus:1,51.584,276.267,46.464,257.510,182.000,445.000,14250.868,264.000,275714.000,0.000
3,SUM_c95e125d-6e3c-4de5-a9c1-aca15782f2b2.tif:cytoplasm:1,137.333,238.937,68.107,157.455,131.000,446.000,32813.892,225.000,634856.000,0.000
4,SUM_c95e125d-6e3c-4de5-a9c1-aca15782f2b2.tif:dendrite 1:1,7.185,147.055,9.920,144.976,130.896,177.404,1056.516,145.014,20440.589,31.608
5,SUM_c95e125d-6e3c-4de5-a9c1-aca15782f2b2.tif:dendrite 1 background:1,7.185,138.002,8.553,129.481,123.000,158.682,991.480,137.494,19182.339,31.608
6,SUM_c95e125d-6e3c-4de5-a9c1-aca15782f2b2.tif:dendrite 2:1,6.719,183.948,50.082,159.798,143.180,373.130,1236.008,166.096,23913.263,29.361
7,SUM_c95e125d-6e3c-4de5-a9c1-aca15782f2b2.tif:dendrite 2 background:1,6.719,168.932,61.095,143.787,126.294,368.361,1135.108,143.786,21961.130,29.361
8,SUM_c95e125d-6e3c-4de5-a9c1-aca15782f2b2.tif:dendrite 3:1,8.012,156.489,10.341,149.994,138.694,188.142,1253.714,154.695,24255.812,35.194
9,SUM_c95e125d-6e3c-4de5-a9c1-aca15782f2b2.tif:dendrite 3 background:1,8.012,138.711,8.580,138.882,123.088,162.153,1111.284,138.945,21500.206,35.194
10,SUM_c95e125d-6e3c-4de5-a9c1-aca15782f2b2.tif:AIS:1,7.443,154.987,17.306,149.913,123.390,206.700,1153.557,155.121,22318.060,32.544
11,SUM_c95e125d-6e3c-4de5-a9c1-aca15782f2b2.tif:AIS background:1,7.443,143.774,10.227,140.035,125.170,181.546,1070.102,142.615,20703.438,32.544
