 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_77f7dad9-5641-4a51-9846-434779969af5.tif:cell body:1,270.634,553.665,274.165,367.256,87.000,2108.000,149840.558,500.000,2898991.000,0.000
2,SUM_77f7dad9-5641-4a51-9846-434779969af5.tif:nucleus:1,90.763,718.022,251.121,821.191,225.000,1875.000,65169.525,718.000,1260846.000,0.000
3,SUM_77f7dad9-5641-4a51-9846-434779969af5.tif:cytoplasm:1,179.871,470.731,246.535,367.256,87.000,2108.000,84671.032,433.000,1638145.000,0.000
4,SUM_77f7dad9-5641-4a51-9846-434779969af5.tif:dendrite 1:1,5.841,317.594,192.597,116.426,114.738,978.929,1854.955,230.275,35888.127,25.684
5,SUM_77f7dad9-5641-4a51-9846-434779969af5.tif:dendrite 1 background:1,5.841,244.584,155.396,267.628,47.404,706.789,1428.527,240.032,27637.956,25.684
6,SUM_77f7dad9-5641-4a51-9846-434779969af5.tif:dendrite 2:1,5.117,245.834,79.824,199.695,96.246,620.663,1257.940,229.699,24337.578,22.448
7,SUM_77f7dad9-5641-4a51-9846-434779969af5.tif:dendrite 2 background:1,5.117,210.375,100.816,155.387,74.065,756.632,1076.492,186.272,20827.076,22.448
8,SUM_77f7dad9-5641-4a51-9846-434779969af5.tif:dendrite 3:1,5.479,196.893,98.811,122.306,100.695,683.041,1078.742,160.492,20870.608,24.036
9,SUM_77f7dad9-5641-4a51-9846-434779969af5.tif:dendrite 3 background:1,5.479,213.083,155.741,23.499,19.229,747.968,1167.447,168.973,22586.799,24.036
10,SUM_77f7dad9-5641-4a51-9846-434779969af5.tif:AIS:1,5.789,149.698,46.526,140.881,64.347,271.676,866.598,143.028,16766.214,25.469
11,SUM_77f7dad9-5641-4a51-9846-434779969af5.tif:AIS background:1,5.789,136.886,97.590,125.997,24.021,597.774,792.426,109.756,15331.205,25.469
