 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_9e6556fb-4abb-4da0-b27b-da9271892cf0.tif:cell body:3,253.215,143.371,83.382,105.010,5.000,544.000,36303.756,122.000,702375.000,0.000
2,SUM_9e6556fb-4abb-4da0-b27b-da9271892cf0.tif:nucleus:3,87.145,142.889,71.010,102.648,40.000,436.000,12452.001,123.000,240911.000,0.000
3,SUM_9e6556fb-4abb-4da0-b27b-da9271892cf0.tif:cytoplasm:3,166.071,143.624,89.200,65.006,5.000,544.000,23851.755,119.000,461464.000,0.000
4,SUM_9e6556fb-4abb-4da0-b27b-da9271892cf0.tif:dendrite 1:3,7.185,45.245,18.100,36.062,18.905,101.000,325.066,39.184,6289.104,31.535
5,SUM_9e6556fb-4abb-4da0-b27b-da9271892cf0.tif:dendrite 1 background:3,7.185,2.672,6.516,0.065,0.000,33.076,19.200,0.639,371.459,31.535
6,SUM_9e6556fb-4abb-4da0-b27b-da9271892cf0.tif:dendrite 2:3,7.546,38.017,14.574,19.313,14.869,73.204,286.889,36.624,5550.484,33.105
7,SUM_9e6556fb-4abb-4da0-b27b-da9271892cf0.tif:dendrite 2 background:3,7.546,2.421,9.664,0.150,0.000,76.948,18.267,0.068,353.417,33.105
8,SUM_9e6556fb-4abb-4da0-b27b-da9271892cf0.tif:dendrite 3:3,6.771,36.323,13.263,31.698,19.640,83.287,245.946,31.710,4758.359,29.745
9,SUM_9e6556fb-4abb-4da0-b27b-da9271892cf0.tif:dendrite 3 background:3,6.771,3.412,8.759,0.126,0.000,64.729,23.101,0.234,446.929,29.745
10,SUM_9e6556fb-4abb-4da0-b27b-da9271892cf0.tif:AIS:3,8.218,26.917,11.611,33.367,2.859,52.763,221.208,25.153,4279.752,36.107
11,SUM_9e6556fb-4abb-4da0-b27b-da9271892cf0.tif:AIS background:3,8.218,1.150,2.427,0.034,0.000,17.494,9.447,0.413,182.782,36.107
