 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_51fd1678-dfc1-4d60-b472-7e30f9da7f59.tif:cell body:1,215.742,230.120,120.310,153.031,29.000,1325.000,49646.636,201.000,960522.000,0.000
2,SUM_51fd1678-dfc1-4d60-b472-7e30f9da7f59.tif:nucleus:1,64.402,304.055,98.549,229.787,99.000,762.000,19581.777,290.000,378852.000,0.000
3,SUM_51fd1678-dfc1-4d60-b472-7e30f9da7f59.tif:cytoplasm:1,151.340,198.658,114.839,153.031,29.000,1325.000,30064.860,168.000,581670.000,0.000
4,SUM_51fd1678-dfc1-4d60-b472-7e30f9da7f59.tif:dendrite 1:1,5.531,238.379,240.872,89.860,59.080,1271.353,1318.360,144.984,25506.541,24.166
5,SUM_51fd1678-dfc1-4d60-b472-7e30f9da7f59.tif:dendrite 1 background:1,5.531,195.988,188.051,45.571,13.820,869.420,1083.917,120.450,20970.729,24.166
6,SUM_51fd1678-dfc1-4d60-b472-7e30f9da7f59.tif:dendrite 2:1,5.737,117.242,60.423,85.522,40.872,297.737,672.651,103.908,13013.901,25.054
7,SUM_51fd1678-dfc1-4d60-b472-7e30f9da7f59.tif:dendrite 2 background:1,5.737,41.678,40.162,24.553,8.421,274.867,239.115,31.549,4626.205,25.054
8,SUM_51fd1678-dfc1-4d60-b472-7e30f9da7f59.tif:dendrite 3:1,5.582,152.546,71.316,132.961,63.389,423.195,851.544,132.318,16474.969,24.559
9,SUM_51fd1678-dfc1-4d60-b472-7e30f9da7f59.tif:dendrite 3 background:1,5.582,89.972,47.199,65.726,40.506,327.457,502.241,78.322,9716.940,24.559
10,SUM_51fd1678-dfc1-4d60-b472-7e30f9da7f59.tif:AIS:1,7.805,153.273,151.063,102.443,33.227,857.379,1196.259,110.367,23144.233,34.340
11,SUM_51fd1678-dfc1-4d60-b472-7e30f9da7f59.tif:AIS background:1,7.805,109.509,93.053,51.358,27.870,550.724,854.694,75.631,16535.913,34.340
