 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_63784cfb-f09b-4596-a3cf-2a6eceda0e37.tif:cell body:3,271.306,82.738,62.404,10.465,0.000,282.000,22447.260,68.000,434291.000,0.000
2,SUM_63784cfb-f09b-4596-a3cf-2a6eceda0e37.tif:nucleus:3,80.787,158.813,48.687,121.600,63.000,282.000,12829.989,150.000,248224.000,0.000
3,SUM_63784cfb-f09b-4596-a3cf-2a6eceda0e37.tif:cytoplasm:3,190.519,50.479,32.335,15.240,0.000,153.000,9617.271,47.000,186067.000,0.000
4,SUM_63784cfb-f09b-4596-a3cf-2a6eceda0e37.tif:dendrite 1:3,3.877,11.526,3.777,8.248,5.138,20.016,44.683,10.870,864.485,17.002
5,SUM_63784cfb-f09b-4596-a3cf-2a6eceda0e37.tif:dendrite 1 background:3,3.877,3.432,2.825,0.023,0.000,11.823,13.304,3.313,257.394,17.002
6,SUM_63784cfb-f09b-4596-a3cf-2a6eceda0e37.tif:dendrite 2:3,4.755,21.465,5.696,23.363,10.114,34.962,102.071,21.261,1974.790,20.874
7,SUM_63784cfb-f09b-4596-a3cf-2a6eceda0e37.tif:dendrite 2 background:3,4.755,5.068,3.930,3.926,0.403,25.811,24.101,4.169,466.278,20.874
8,SUM_63784cfb-f09b-4596-a3cf-2a6eceda0e37.tif:dendrite 3:3,4.445,6.748,2.475,7.837,1.334,13.531,29.994,6.517,580.299,19.478
9,SUM_63784cfb-f09b-4596-a3cf-2a6eceda0e37.tif:dendrite 3 background:3,4.445,1.990,2.323,1.022,0.000,12.170,8.845,1.335,171.122,19.478
10,SUM_63784cfb-f09b-4596-a3cf-2a6eceda0e37.tif:AIS:3,5.634,15.844,5.892,20.445,5.914,29.533,89.265,15.954,1727.025,24.654
11,SUM_63784cfb-f09b-4596-a3cf-2a6eceda0e37.tif:AIS background:3,5.634,6.901,6.368,0.041,0.000,20.942,38.877,4.919,752.161,24.654
