 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_70a8fc86-9a7b-4241-ac62-807d559f679e.tif:cell body:3,224.012,177.049,84.314,159.475,18.000,457.000,39661.094,163.000,767330.000,0.000
2,SUM_70a8fc86-9a7b-4241-ac62-807d559f679e.tif:nucleus:3,75.825,174.401,72.676,146.648,50.000,406.000,13224.000,161.000,255847.000,0.000
3,SUM_70a8fc86-9a7b-4241-ac62-807d559f679e.tif:cytoplasm:3,148.187,178.404,89.668,111.459,18.000,457.000,26437.094,164.000,511483.000,0.000
4,SUM_70a8fc86-9a7b-4241-ac62-807d559f679e.tif:dendrite 1:3,5.479,107.097,15.964,92.654,77.781,144.000,586.767,106.238,11352.273,24.065
5,SUM_70a8fc86-9a7b-4241-ac62-807d559f679e.tif:dendrite 1 background:3,5.479,9.709,7.391,0.074,0.000,38.000,53.195,9.583,1029.167,24.065
6,SUM_70a8fc86-9a7b-4241-ac62-807d559f679e.tif:dendrite 2:3,7.340,100.208,30.826,80.059,48.981,180.484,735.484,97.510,14229.528,32.194
7,SUM_70a8fc86-9a7b-4241-ac62-807d559f679e.tif:dendrite 2 background:3,7.340,6.238,8.351,0.080,0.000,41.023,45.787,1.565,885.852,32.194
8,SUM_70a8fc86-9a7b-4241-ac62-807d559f679e.tif:dendrite 3:3,6.461,61.480,13.998,52.930,37.144,105.065,397.214,59.945,7684.977,28.304
9,SUM_70a8fc86-9a7b-4241-ac62-807d559f679e.tif:dendrite 3 background:3,6.461,1.065,2.028,0.019,0.000,9.508,6.883,0.196,133.164,28.304
10,SUM_70a8fc86-9a7b-4241-ac62-807d559f679e.tif:AIS:3,8.167,40.566,26.591,28.673,5.028,110.300,331.283,31.937,6409.384,35.934
11,SUM_70a8fc86-9a7b-4241-ac62-807d559f679e.tif:AIS background:3,8.167,3.470,8.981,0.129,0.000,66.016,28.341,0.150,548.323,35.934
