 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_356de76c-d7d7-4c20-b608-aec3ac4ac963.tif:cell body:3,270.996,96.225,61.727,65.479,9.000,366.000,26076.680,80.000,504510.000,0.000
2,SUM_356de76c-d7d7-4c20-b608-aec3ac4ac963.tif:nucleus:3,80.787,84.182,32.209,53.381,29.000,248.000,6800.839,78.000,131577.000,0.000
3,SUM_356de76c-d7d7-4c20-b608-aec3ac4ac963.tif:cytoplasm:3,190.209,101.340,70.005,44.561,9.000,366.000,19275.841,81.000,372933.000,0.000
4,SUM_356de76c-d7d7-4c20-b608-aec3ac4ac963.tif:dendrite 1:3,5.686,57.033,20.017,44.387,26.332,108.138,324.265,55.977,6273.620,25.006
5,SUM_356de76c-d7d7-4c20-b608-aec3ac4ac963.tif:dendrite 1 background:3,5.686,7.429,6.750,1.871,0.212,40.666,42.240,5.932,817.219,25.006
6,SUM_356de76c-d7d7-4c20-b608-aec3ac4ac963.tif:dendrite 2:3,4.238,42.489,15.536,34.134,17.501,80.584,180.085,40.813,3484.128,18.441
7,SUM_356de76c-d7d7-4c20-b608-aec3ac4ac963.tif:dendrite 2 background:3,4.238,4.005,5.115,1.055,0.000,28.428,16.973,2.289,328.370,18.441
8,SUM_356de76c-d7d7-4c20-b608-aec3ac4ac963.tif:dendrite 3:3,4.548,77.828,17.407,69.499,45.365,119.356,354.000,77.012,6848.895,19.944
9,SUM_356de76c-d7d7-4c20-b608-aec3ac4ac963.tif:dendrite 3 background:3,4.548,20.715,20.169,11.777,1.384,105.723,94.221,12.138,1822.909,19.944
10,SUM_356de76c-d7d7-4c20-b608-aec3ac4ac963.tif:AIS:3,4.704,44.094,19.426,35.836,11.943,99.950,207.396,38.988,4012.523,20.694
11,SUM_356de76c-d7d7-4c20-b608-aec3ac4ac963.tif:AIS background:3,4.704,10.463,8.901,0.064,0.000,32.853,49.215,8.070,952.164,20.694
