 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_e1cce6d0-db2c-4cc8-95e4-79cb5e000623.tif:cell body:1,329.557,936.246,637.795,197.873,45.000,2744.000,308546.597,783.000,5969504.000,0.000
2,SUM_e1cce6d0-db2c-4cc8-95e4-79cb5e000623.tif:nucleus:1,66.987,1740.005,382.781,1467.104,933.000,2744.000,116556.881,1626.500,2255046.000,0.000
3,SUM_e1cce6d0-db2c-4cc8-95e4-79cb5e000623.tif:cytoplasm:1,262.571,731.193,516.062,453.564,45.000,2506.000,191989.716,592.500,3714458.000,0.000
4,SUM_e1cce6d0-db2c-4cc8-95e4-79cb5e000623.tif:dendrite 1:1,7.029,296.771,52.682,271.617,194.623,448.953,2086.135,288.783,40360.812,30.824
5,SUM_e1cce6d0-db2c-4cc8-95e4-79cb5e000623.tif:dendrite 1 background:1,7.029,47.482,32.117,33.228,17.492,204.859,333.775,38.453,6457.600,30.824
6,SUM_e1cce6d0-db2c-4cc8-95e4-79cb5e000623.tif:dendrite 2:1,8.580,401.425,101.646,348.266,222.584,627.295,3444.253,375.778,66636.556,37.711
7,SUM_e1cce6d0-db2c-4cc8-95e4-79cb5e000623.tif:dendrite 2 background:1,8.580,84.280,51.658,43.141,30.152,259.470,723.124,67.199,13990.409,37.711
8,SUM_e1cce6d0-db2c-4cc8-95e4-79cb5e000623.tif:dendrite 3:1,4.910,621.903,90.730,631.444,435.056,855.769,3053.718,631.615,59080.797,21.492
9,SUM_e1cce6d0-db2c-4cc8-95e4-79cb5e000623.tif:dendrite 3 background:1,4.910,88.766,55.663,47.757,28.785,277.856,435.866,68.676,8432.783,21.492
10,SUM_e1cce6d0-db2c-4cc8-95e4-79cb5e000623.tif:AIS:1,6.099,176.766,51.769,119.199,92.811,329.845,1078.113,164.328,20858.437,26.770
11,SUM_e1cce6d0-db2c-4cc8-95e4-79cb5e000623.tif:AIS background:1,6.099,79.505,50.842,37.262,20.342,242.467,484.907,59.615,9381.588,26.770
